Wavelength,Wavenumber,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
813.93,452.05,19.56,31.72,16.25,0,0,0,0,0,0,0.19,9.33,23.61,0,12,0.12,0,0,0,0,0,0
814.07,454.19,5.3,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0
814.21,456.32,5.3,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.35,458.45,7.65,18.79,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
814.49,460.57,7.65,18.79,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
814.64,462.7,7.65,8.01,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
814.78,464.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.92,466.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.06,469.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.2,471.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.34,473.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.48,475.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.62,477.57,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.76,479.69,3.29,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.91,481.8,3.29,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.05,483.92,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.19,486.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.33,488.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.47,490.27,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.61,492.38,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.75,494.49,0,0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.89,496.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.03,498.72,0,0.28,0,0,0,0,7.76,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0
