WP-00790,Wavenumber,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3
816.61,492.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.75,494.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.89,496.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.03,498.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.17,500.83,0,0,0,0,0,0,0,0,0,0,0,8.72,0,6.1,0
817.31,502.93,0,0,0,0,0,0,0,0,0,0,0,8.72,0,6.1,0
817.46,505.04,0,0,0,0,0,0,0,0,0,0,0,8.72,0,6.1,0
817.6,507.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.74,509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.88,511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.02,513.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.16,515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.3,517.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.44,519.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.58,521.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.72,523.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.86,526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,528.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.14,530.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.28,532.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.42,534.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.57,536.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.71,538.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.85,540.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.99,542.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
820.13,544.89,27.68,19.1,18.32,0,25.49,13.96,41.14,34.85,26.99,55.46,53.11,49.75,47.85,41.71,43.69
820.27,546.98,181.86,149.23,157.78,129.9,139.49,159.44,186.64,169.07,138.04,166.42,141.37,171.28,147.31,131.02,122.34
820.41,549.06,364.93,330.77,307.41,294.63,284.72,304.48,360.49,322.66,263.52,292.15,296.41,296.21,255.02,238.91,200.6
820.55,551.15,511.68,521.1,483.04,445.68,429.83,445.92,509.35,414.57,395.87,370.27,402.18,358.54,299.56,313.77,248.87
820.69,553.23,505.9,551.22,484.79,449.06,427.05,430.81,500.22,385.15,404.56,369.93,399.14,359.05,278.39,319.24,257.09
820.83,555.32,396.12,437.02,412.53,347.43,322.92,343.35,380.32,290.64,345.83,282.01,300.53,294.66,239.06,273.55,248.14
820.97,557.4,221.69,227.59,234.27,196.39,152.33,219.22,227.65,168.35,218.67,180.84,174,211.36,183.23,171.03,179.71
821.11,559.48,73.29,67.34,93.07,63.11,41.1,88.85,101.32,63.55,106.18,70.23,115.68,126.27,108.02,76.25,101.89
821.25,561.56,0,0,15.69,15.78,0,31.27,63.44,29.73,59.47,49.26,77.33,68.82,79.54,41.41,50.79
821.39,563.64,3.86,67.04,28.04,50.51,22.92,39.4,103.45,59.8,64.33,68.72,81.42,90.47,103.9,61.74,67.54
821.53,565.72,3.86,105.66,28.04,70.55,34.19,60.49,160.68,103.29,84.07,109.25,83.6,133.22,135.44,110.12,96.47
821.67,567.8,3.86,105.66,28.04,54.77,34.19,60.49,144.61,81.59,64.04,104.69,73.66,131.85,109.26,82.76,98.01
821.81,569.87,0,38.63,0,20.04,11.27,21.09,67.27,47.05,27.02,58.67,45.6,81.43,48.33,49.5,57.74
821.95,571.95,0,0,0,0,0,0,0,3.55,0,18.13,16.51,1.73,13.72,1.12,19.77
822.09,574.02,0,0,0,0,0,0,0,0,0,5.86,8.37,0,0,1.12,0
822.23,576.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.37,578.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.51,580.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.65,582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.79,584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.93,586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.07,588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.21,590.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
