WP-00790,,PS0.1ppm-1,PS0.1ppm-2,PS0.1ppm-3,PS0.5ppm-1,PS0.5ppm-2,PS0.5ppm-3,PS1.0ppm-1,PS1.0ppm-2,PS1.0ppm-3,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
825.73,627.6,27.39,27.68,0,12.41,38.18,56.78,0,15.93,9.04,0,0,0,28.76,36.26,23.75,19,63.02,56.48,107.85,79.03,82.25,150.83,129.29,119.77
825.87,629.64,36.88,28.46,0,18.75,60.74,71.77,1.9,15.93,9.19,11.61,3.99,0.56,67.04,62.16,32.17,56.7,91.36,85.81,112.58,139.49,114.61,164.79,142.01,133.79
826.01,631.69,36.91,31.78,12.18,51.44,62.43,51.71,15.98,15.78,27.89,28.87,6.32,23.43,99.62,83.8,69.15,130.53,162.5,140.6,208.1,205.09,166.11,219.21,191.2,239.93
826.15,633.73,10.97,51.53,49.78,61.22,77.62,73.07,40.46,25.79,42.99,52,30.89,43.14,128.27,74.46,81.17,220.67,197,200.42,268.32,285.71,255.3,307.34,307.42,325.77
826.29,635.78,1.49,53.49,49.78,92.52,89.01,61.3,48,25.79,70.63,51.16,26.91,42.57,136.78,95.32,82.03,272.63,234.65,271.39,347.36,314.13,291.29,378.93,390.44,389.75
826.43,637.82,51.09,86.77,52.71,93.13,168.36,78.49,48.53,63.06,73.93,63.2,66.71,82.21,176.25,138.47,96.2,345.5,308.89,365.95,434.97,401.48,394.87,465.11,517.71,475.97
826.57,639.86,61.35,56.9,20.3,106.38,145.35,124.99,60.72,58.6,93.56,57.89,44.83,88.17,206.69,181.59,153.33,425.96,408.38,437.43,535.18,469.74,483.36,565.55,614.23,576.12
826.7,641.9,95.04,62.49,33.12,138.94,155.65,165.47,66.57,104.23,89.51,78.24,103.84,99.11,243.77,198.68,193.1,519.35,504.46,515.5,607.64,544.93,600.11,626.91,684.68,662.86
826.84,643.94,62.96,46.75,31.35,167.81,117.92,138.93,64.08,94.42,80.79,89.12,124.82,76.93,224.14,184.39,195.16,516.66,522.13,499.16,560.03,563.37,635.11,606.53,647.38,623.51
826.98,645.98,61.53,98.13,35.91,182.99,134.51,111.03,36.24,95.6,59.39,83.88,153.68,62.62,190.82,151.08,134.19,430.56,442.4,397.75,468.01,488.07,494.03,457.74,529.34,487.77
827.12,648.02,57.33,129.92,51.01,178.04,156.29,112.34,20.95,51.66,35.65,53.07,150.97,51.68,106.95,87.24,82.08,254.61,272.82,216.83,291.48,345.58,304.77,250.63,304.73,278.44
827.26,650.06,70,99.59,66.33,140.3,155.27,141.84,18.88,36.61,22.37,42.59,110.25,42.45,39.08,40.31,28.87,110.6,99.98,83.53,144.65,158.4,95.6,81.78,117.34,104.69
827.4,652.09,81.56,78.14,103.19,168.09,160.8,121.89,12.69,14.09,0,31.87,111.3,43.33,0,3.58,4.43,7.09,10.62,5.06,23.97,50.35,23.93,0,0,0
827.54,654.13,61.01,59.92,110.28,149.76,111.52,104.14,12.69,12.4,0,49.25,79.45,62.37,11.84,10.75,0,0,0,0,0,0,1.11,0,0,0
827.68,656.16,55.57,105.13,107.13,149.2,106.34,103.83,32.48,7.22,13.55,22.84,68.48,51.22,22.96,23.61,28.17,0,21.68,0,12.08,8.19,17.06,0,0,0
827.82,658.2,33.71,87.11,84.09,118.73,72.59,86.28,36.37,7.22,16.16,50.76,50.83,38.99,22.96,53.21,49.18,0,21.68,0,12.08,8.19,48.7,0,0,0
827.96,660.23,24.78,57.44,51.27,80.81,74.39,59.04,36.37,7.22,21.74,42.67,26.37,19.95,11.12,46.05,60.22,0,21.68,0,12.08,8.19,47.58,0,0,0
828.1,662.26,13,11.92,26.78,66.54,56.84,31.36,11.14,11.01,8.2,39.38,16.82,12.89,6.56,31.49,54.35,0,13.42,2.83,5.53,10.67,35.94,0,0,0
828.24,664.29,13,24.56,3.21,56.71,52.38,29.44,6.68,11.83,5.58,16.16,28.04,13.01,47.03,2.36,56.89,38.2,76.93,63.09,55.5,59.46,99.68,82.8,40.92,61.13
828.38,666.32,40.37,58.64,15.05,77.77,33.84,29.44,41.23,34.8,21.78,30.82,75.61,40.8,92.06,66.39,87.29,99.46,170.86,122.09,180.9,154.36,205.78,173.78,149.71,181.11
828.52,668.34,28.37,80.34,37.33,57.53,14.71,30.52,55.09,33.35,45.18,30.82,101.82,33.83,93.87,80.53,76.45,118.54,185.2,126.09,223.61,202.1,256.06,205.7,204.47,218.04
828.65,670.37,28.37,55.77,37.33,30.05,0.44,31.03,53.02,32.53,45.18,24.26,75.65,33.71,53.4,80.07,52.9,80.34,121.68,65.83,173.64,153.31,160.68,122.9,163.54,156.91
828.79,672.4,1,21.7,26.39,0,14.37,31.03,18.47,9.56,23.4,0,28.08,5.91,8.37,16.03,11.46,19.08,27.76,6.83,48.25,58.42,54.58,31.92,54.75,36.93
828.93,674.42,0,0,3.09,20.88,22.22,23.43,14.64,0,18.69,28.71,0,5.81,12.77,18.1,25.87,4.2,9.27,1.33,16.46,10.33,11.35,0,8.32,0
829.07,676.45,17.98,10.97,11.62,33.12,29.64,22.37,19.86,32.01,35.66,28.71,24.34,27.73,57.51,35.17,58.71,35.14,79.3,36.75,62.71,49.1,62.44,54.29,43.86,9.99
829.21,678.47,17.98,11.89,14.69,88.37,30.6,22.37,37.98,43.93,35.66,44.92,26.08,39.65,77.21,72.54,74.85,35.14,79.3,36.75,62.71,49.1,62.44,54.29,43.86,9.99
829.35,680.49,33.45,11.89,14.69,73.97,39.22,0,23.34,43.93,16.97,16.21,26.08,33.84,64.44,54.44,48.98,30.94,70.03,35.42,46.24,38.78,51.09,54.29,35.55,9.99
829.49,682.51,15.47,13.77,9.21,61.73,31.8,30.09,18.12,27,0,16.21,9.59,26.17,29.31,49.64,22.19,1.41,21.89,41.61,27.82,24.03,39.87,10.84,16.15,15.88
829.63,684.53,31.79,24.44,45.51,21.9,18.98,63.72,45.6,40.5,34.85,19.5,16.67,63.72,83.59,61.25,64.15,90.95,115.26,147.02,123.79,110.23,110.18,112.95,93.26,114.03
829.77,686.55,29.61,32.99,45.51,15.42,2.07,90.12,59.11,73.17,63.97,38.91,25.76,103.07,111.18,108.17,112.53,143.82,193.32,237.12,190.14,190.46,173.49,194.2,187.19,173.65
829.91,688.57,35.89,20.15,54.49,15.42,8.75,76.55,59.11,58.1,90.02,38.91,17.9,88.82,119.43,125.42,117.45,168.59,221.48,239.94,190.02,181.35,193.56,215.74,191.13,195.2
830.04,690.58,30.39,41.27,41.25,32.72,7.4,71.09,29.69,61.71,85.72,39.76,9.09,59.25,89.1,121.41,95.79,139.1,163.05,204.17,152.63,126.98,176.04,173.36,148.8,142.83
830.18,692.6,48.13,47.63,69.99,78.69,32.81,67.53,24.82,60.53,74.64,68.16,0,36.91,84.31,93.95,86.01,86.23,106.13,168.91,86.29,80.78,122.02,92.11,54.87,87.98
830.32,694.61,41.85,47.63,57.96,78.69,26.13,51.02,24.82,60.53,48.58,68.16,6.45,60.69,66.46,64.44,75.04,60.04,56.07,124.48,58.59,65.86,62.08,59.73,34.78,50.55
830.46,696.63,31.03,24.45,28.74,78.03,58.8,28.26,8.64,31.49,18.04,47.82,6.45,42.57,22.8,19.45,38.59,0,21.13,54.84,0,34.04,9.29,0,0,4.77
830.6,698.64,11.02,14.39,22.98,49.16,68.59,57.96,16.65,17.86,10.83,22.33,26.35,76.68,42.5,30.15,34.3,77,70.98,55.34,31.04,80.6,62.03,93.67,66.12,46.71
830.74,700.65,65.38,46.24,47.27,86.31,100.96,88.96,47.51,47.63,37.26,80.03,59.88,101.01,101.56,105.86,83.82,185.24,157.89,175.94,119.36,162.48,190.95,200.07,170.34,159.5
830.88,702.66,82.19,40.98,64.31,105.25,98.56,134.47,76.05,92.73,67.73,143.3,105.47,131.56,147.95,161.23,139.68,277.48,227.48,265.22,224.06,238.07,270.53,292.66,264.41,258.46
831.02,704.67,88.88,81.95,74.59,137.43,75.06,115.88,86.38,74.87,80.85,147.28,100.56,116.11,152.61,161.88,137.67,218.14,240.22,272.95,236.52,194.52,274.82,269.85,265.65,256.99
831.16,706.68,44.48,61.49,60.43,105.85,50.13,98.2,60.93,49.45,73.19,101.36,73.42,81.45,122.47,91.06,88.15,133,185.48,196.53,174.5,183.5,188.97,205.92,182.76,175.38
831.29,708.69,59.31,67.27,51.17,110.51,38.78,65.09,46.71,12.25,52.75,65.23,70.08,89.24,99.54,71.79,57.55,74.04,194.92,161.97,150.34,155.66,164.64,164.51,137.74,124.97
831.43,710.69,57.71,30.28,17.92,64.42,68,52.56,22.36,12.25,28.79,59.66,64.62,71.25,56.48,41.39,31.16,66.94,172.89,134.6,127.37,127.68,98.49,129.31,96.25,93.76
831.57,712.7,58.24,34.41,16.02,75.13,65.01,73.49,22.8,7.91,19.35,61.09,51.78,69.27,27.56,37.08,34.58,43.85,175.61,99.31,101.07,56.83,55.42,86.84,74.92,62.58
831.71,714.7,26.6,24.45,18.69,37.74,63.27,55.68,21.79,0,12.12,53.76,35.9,45.85,6.47,0.99,9.33,10.57,96.57,44.59,23.05,9.08,0.18,35.66,25.88,14.03
831.85,716.71,39.49,15.61,58.05,59.83,52.33,58.66,19.15,9.37,20.07,59.65,65.9,38.99,14.48,15.32,13.34,0,34.88,29.23,2.51,0,0,0,0,0
831.99,718.71,33.51,10.91,49.82,92.06,74.52,59.44,13.29,10.74,10.75,47.99,65.9,27.53,14.48,14.73,9.91,0,1.95,32.97,2.51,0,0,0,0,0
832.13,720.71,33.51,10.81,53.76,95.97,81.41,59.44,3.16,10.74,8.4,38.67,45.37,23.13,12.11,27.48,10.51,13.75,13.61,66.96,0,11.8,0,0,0,0
832.26,722.71,4.5,34.26,14.4,89.03,75.09,54.05,17.88,24.08,12.84,38.36,57.85,30.07,46.97,57.33,45.36,103.96,98.08,162.08,40.8,60.1,74.4,74.56,76.52,98.57
832.4,724.71,20.69,59.38,41.64,91.11,85.47,52.69,67.91,42.76,35.25,90.51,87.63,42.19,105.89,88.51,94.74,189.4,222.52,232.18,140.54,172.33,161.01,209.56,209.5,211.92
832.54,726.71,60.45,70.03,50.52,68.92,75.66,117.6,79.33,58.69,55.79,96.77,91.34,60.7,129.97,111.45,115.02,257.18,303.04,260.7,215.44,224.25,216.7,279.57,283.83,294.6
832.68,728.71,66.63,62.97,69.18,72.18,90.2,118.41,83.75,37.48,43.41,95.15,62.18,50.34,89.91,68.7,74.95,173.61,262.21,160.53,198.02,186.8,152.42,280.69,219.99,199.37
832.82,730.7,80.88,36.48,71.66,56.03,83.33,144.47,40.73,46.15,31.84,56.32,32.4,59.76,50.72,52.51,33.1,123.57,170.24,110.55,115.81,91.89,84,152.03,99.03,102.36
832.96,732.7,46.14,39.34,61.81,106.99,75.83,102.56,27.04,51.82,15.93,55.28,22.86,28.94,33.53,26.63,12.23,63.84,78.06,68.56,49.24,28.18,44.89,89.69,24.7,33.67
833.1,734.69,70.98,38.78,80.22,168.46,115.24,107.58,15.9,69.04,22.84,30.58,0,27.28,26.62,54.96,38.24,60.98,37.61,53.26,52.21,19.78,34.78,14.02,12.02,30.33
833.23,736.69,64.29,49.68,61.75,183.4,123.8,113.74,34.2,47.05,28.6,27.56,0,30.51,6.89,42.73,50.36,25.58,3.19,20.52,37.61,2.46,16.59,7.67,0,13.99
833.37,738.68,72.07,36.17,54.75,143.5,139.84,170.38,36.95,42.16,30.13,11.85,0,45.89,3.44,55.61,50.35,3.78,3.19,0,39.11,19.7,16.53,0,0,0
833.51,740.67,73.64,58,29.88,110.08,116.35,202.83,38.48,38.38,39.45,44.86,0,65.7,32.36,26.58,36.66,12.19,4.01,23.33,72.37,33.59,56.11,17.76,13.49,17.72
833.65,742.66,90.68,47.3,18.63,107.14,116.35,160.76,13.16,31.66,31.21,55.65,19.42,48.41,39.3,43.66,48.42,15.33,4.01,23.33,84.06,53.26,61.96,17.76,20.22,17.72
833.79,744.65,86.08,65.18,12.19,103.9,108.04,81.12,28.14,20.33,34.97,93.27,22.52,33.03,63.39,25.72,48.42,20.62,4.01,23.33,74.23,36.01,45.42,17.76,33.72,17.72
833.93,746.64,53.49,31.98,0,65.82,65.56,23.83,43.89,5.39,18.75,60.27,55.08,20.32,62.91,43.23,52.93,30.55,0,18.33,49.34,48.08,53.3,7.86,38.85,22.8
834.06,748.63,24.82,22.32,0,62.89,57.55,9.77,74.71,32.67,16.4,82.99,65.26,44.29,95.87,44.17,44.22,65.24,58.75,77.72,108.55,84.58,83.29,94.06,126.75,107.58
834.2,750.61,16.62,4.45,3.31,55.06,42.37,20.37,58.9,49.57,34.71,57.5,62.16,52.5,91.16,77.44,91.46,111.58,121.33,121.95,205.93,167.94,186.91,192.7,191,192.14
834.34,752.6,26.47,0,50.53,60.55,30.71,20.37,57.43,59.85,41.12,72.63,29.59,39.66,97.11,79.37,94.73,158.58,172.09,175.35,276.45,233.09,228.2,296.59,278.58,268.34
834.48,754.58,9.85,0,52,17.04,0,10.59,31.08,41.52,54.21,27.27,5.37,8.2,62.16,63.4,77.44,182.34,178.26,176.52,285.75,239.67,284.26,283.93,290.95,295.99
834.62,756.57,9.85,0,48.7,17.04,0,0,28.27,29.53,25.51,39.05,5.37,0,56.88,25.39,40.48,193.76,151.76,192.02,244.71,212.57,241.98,276.61,322.99,312.64
834.75,758.55,0,0,1.48,0,0,0,4.46,40.43,34.16,23.91,5.37,0,26.14,29.97,15.66,201.39,139.47,177.06,202.55,174.36,200.58,245.19,283.92,317.86
834.89,760.53,18.75,17.22,0,0,25.29,55.92,23.11,60.11,52.92,53.52,24.41,20.54,38.18,49.99,45.36,207.46,141.95,202.2,198.16,186.25,150.28,274.56,285.65,314.53
835.03,762.51,18.75,34.29,0,26,25.29,55.92,41.1,53.01,59.05,43.13,41.43,33.63,40.77,67.6,58.27,224.75,189.64,215.56,236.33,211.69,196.87,285.83,287.94,318.1
835.17,764.49,18.75,37.02,10.11,26,48.68,88.24,57.09,57.02,60.81,43.13,41.43,33.63,63.8,55.27,94.36,241.8,210.44,248.02,289.6,266.24,220.89,310.89,310.68,303.8
835.31,766.47,17.88,63.4,25.76,44.97,71.28,58.8,51.52,28.39,42.69,15.44,17.03,38.86,73.61,66.06,87.82,239.3,216.68,223.93,297.98,283.56,249.36,307.07,300.55,303.95
835.44,768.45,42.24,68.71,25.76,63.28,101.26,71.35,57.5,39.41,57.47,10.42,21.14,49.43,66.97,86.06,91.16,199.01,200.47,206.38,283.59,293.11,229.71,319.82,276.65,276.33
835.58,770.42,65.64,88.71,18.05,112.84,148.85,75.89,56.83,27.43,68.24,19.76,21.14,62.23,58.66,112.06,101.84,168.38,220.59,192.16,246.19,240.31,207.05,310.92,263.77,300.4
835.72,772.4,91.08,80.4,19.37,152.92,108.16,132.49,67.82,33.88,70.35,51.56,44.56,64.62,69.35,102.72,100.17,183.75,250.03,191.27,244.46,247.19,199.74,310.03,246.57,281.48
835.86,774.37,95.44,114.02,75.02,194.61,157.74,179.36,62.7,82.12,95.68,81.61,26.72,79.25,107.25,115.27,124.07,241.01,287.03,206.94,249.62,303.95,209.3,299.38,286.6,303.8
836,776.34,127.06,141.88,92.52,214.24,173.59,210.17,99.81,95.26,96.24,107,51.57,80.57,148.05,120.38,125.51,256.82,290.26,212.82,244.68,324.27,239.76,276.64,297.88,281.02
836.13,778.32,157.16,146.22,128.82,226.03,238.27,197.81,89.7,104.18,87.57,102.86,56.55,65.02,155.62,151.93,131.74,260.74,262.92,246.15,259.84,329.37,248.33,291.37,313.95,295.71
836.27,780.29,175.84,151.82,134.38,222.44,243.89,236.06,114.81,81.33,70.14,141.63,94.44,111.38,169.41,173.36,134.51,280.21,269.81,277.04,293.91,287.36,278.46,331.33,304.93,308.97
836.41,782.26,178.55,137.78,153.3,224.24,226.9,209.37,92.6,80.47,84.7,181.86,123.13,148.86,164.87,198.13,123.62,328.02,297.36,300.59,346.31,329.35,291.26,424.98,359.59,329.26
836.55,784.23,135.18,141.33,156.47,209.31,228.85,221.28,101.6,71.51,97.49,206.67,124.39,164.93,156.22,210.79,141.29,357.72,309.14,325.03,367.6,323.9,347.95,437.21,417.5,332.78
836.69,786.2,128.96,112.35,170.46,173.55,206.96,185.7,90.73,62,77.73,187.06,121.22,127.57,141.68,198.56,117.4,349.53,310.03,320.92,376.68,323.24,335.43,439.91,438.88,368.44
836.82,788.16,97.88,152.19,190.92,169.97,242.58,237.62,83.97,69.27,66.08,156.58,156.86,155.34,123.59,191.44,138.62,367.13,321.7,323.59,394.87,338.03,386.35,449.07,495.05,418.23
836.96,790.13,94.17,143.39,134.48,168.44,221.92,208.26,86.87,79.88,76.77,143.34,171.41,180.03,137.83,209.65,146.5,406.06,374.37,328.26,438.41,362.49,395.28,503.59,517.91,496.71
837.1,792.09,119.27,154.74,101.45,181.75,220.1,246.74,79.56,93.93,103.57,164.56,198.75,183.18,132.85,205.98,192.17,433.1,364.83,346.39,452.41,396.4,417.66,522.24,559.58,518
837.24,794.06,150.96,98.01,63.68,139.68,169.55,237.83,83.81,72.88,101.6,149.59,159.9,139.13,121.76,186.19,183.39,384.71,352.84,300.4,445.3,342.21,358.28,479.48,469.83,488.86
837.37,796.02,138.58,80.2,82.45,111.22,201.29,187.2,77.96,62.05,89.52,153.42,143.51,121.55,120.89,143.3,196.51,347.21,277.75,251.98,364.42,294.25,293.79,397.3,383.65,405.3
837.51,797.98,86.79,36.24,79.86,51.26,182.31,155.52,73.32,17.91,59.67,82.27,100.48,92.32,109.59,119.3,160.18,280.94,224.23,170.45,258.45,223.53,219.2,308.7,279.73,338
837.65,799.94,44.03,47.72,74.97,72.48,186.05,99.91,63.7,37.31,38.48,90.47,106.47,80.12,150.62,122.3,166.86,280.35,227.71,181.6,271.48,245.15,285.28,287.46,319.17,312.72
837.79,801.9,30.07,56.58,84.79,60.77,101.14,102.02,63.74,46.38,28.64,50.15,100.59,91.38,161.98,131.3,141.53,254.43,268.86,216.09,271.53,281.78,340.72,306.25,344.3,345.47
837.92,803.86,20.6,97.1,72.53,101.47,58.65,83.42,74.35,72.23,61.02,130.29,156.85,125.78,192.91,162.2,181.1,319.74,339.25,286.81,371.82,314.98,400.38,393.96,428.35,367.14
838.06,805.82,33.84,87.25,62.64,90.11,45.14,63.22,67.29,66.54,88.41,116.79,134.13,138.54,175.5,160.1,160.01,322.06,329.97,319.2,323.12,331.86,371.39,405.36,434.76,383.84
838.2,807.78,43.13,76.22,51.9,105.59,69.52,85.18,45.01,59.29,73.66,160.87,127.33,117.88,146.88,161.78,161.7,310.17,305.49,277.38,305.88,295.53,324.86,401.91,413.65,356.34
838.34,809.73,61.56,47.89,65.19,85.81,109.16,52.89,15.41,59.05,53.16,122.86,75.43,117.47,119.93,146.13,108.05,264.62,275.35,254.58,266.33,268.54,306.68,285.16,323.23,295.21
838.47,811.69,37.8,48.04,89.31,79.54,101.39,74.43,31.92,37.6,19.12,102.1,68.79,110.63,101.09,153.6,90.53,223.19,279.99,219.89,243.56,195.36,262.3,206.88,248.63,190.23
838.61,813.64,78.63,54.45,108.35,108.56,121.58,99.93,34.66,34.03,62.55,95.58,79.06,127.05,128.81,150.96,101.9,209.67,295.88,269.78,259.04,231.07,243.15,138.86,214.61,120.5
838.75,815.6,55.19,71.9,88.09,101.98,151.83,92.16,61.08,16.14,54.73,59.43,94.68,107.49,121.88,145.33,128.27,201.16,312.44,285.34,255.2,244.81,233.68,159.87,197.62,91.13
838.89,817.55,66.1,71.38,107.87,115.14,164.16,147.46,74.16,47.26,94.59,88.19,121.23,94.51,162.61,176.03,180.65,280.66,390.68,345.92,314.05,355.23,289.56,208.59,229.67,170.13
839.02,819.5,36.05,72.91,84.03,123.03,170.88,147.83,124.92,67.71,101.12,67.64,124.79,137.23,194.36,196.41,189.36,372.51,459.6,400.84,371.25,389.33,398.13,289.67,318.42,251.17
839.16,821.45,54.36,64.14,92.55,166,149.33,150.6,105.68,100.5,137.66,96.79,149.05,169.97,230.77,232.79,209.09,456.04,542.2,450.44,444.48,451.12,450.72,337.45,391.88,317.91
839.3,823.4,59.16,43.21,69.57,123.92,141.63,127.89,92.9,86.41,108.31,70.74,130.78,203.51,184.97,222.3,193.26,418.03,490.26,441.84,435.16,431.71,429.77,323.05,370.14,318.8
839.43,825.35,47.57,32.86,64.17,122.36,142.9,92.46,54.67,84.89,73.85,73.16,109.32,158.87,153.07,216.69,186.66,382.59,424.56,366.14,431.09,413.54,358.4,277.24,288.67,289.62
839.57,827.29,67.23,41.1,80.04,82.76,138.78,127.33,71.68,90.25,61.63,61.5,81.44,128.13,156.06,181.65,175.63,343.05,402.77,346.68,373.27,407.61,330.94,279.36,287.79,306.69
839.71,829.24,46.46,59.25,59.51,116.02,108.63,99.49,57.24,96.18,60.3,55.33,46.22,93.99,174.61,154.84,175.49,359.76,406.88,332.79,351.69,407.59,325.72,294.41,287.83,300.02
839.85,831.18,50.09,80.8,80.68,121.13,69.54,117.06,95.81,101.78,86.31,50.5,60.5,81.42,138.51,158.04,183.69,371.15,452.67,382.26,368.8,415.93,351.53,344.5,350.92,329.73
839.98,833.13,39.55,51.68,64.68,103.42,43.98,72.48,97.17,60.5,60.1,33.26,33.37,54.44,122.19,155.69,186.35,356.67,398.92,373.18,388.05,383.41,346.47,313.06,338.82,359.25
840.12,835.07,39.55,33.53,62.71,70.17,32.14,43.3,89.87,39.23,80.56,47.79,63.18,66.49,126.22,163.35,178.68,353.54,366.87,386.79,405.98,367.24,361.43,312.34,365.76,385.15
840.26,837.01,61.98,40.53,57.34,19.5,70.27,43.43,80.13,58.85,88.92,66.37,85.88,81.34,174.47,152.24,187.91,349.66,365.38,385.31,429.5,400.98,360.64,319.55,356.3,379.64
840.39,838.95,34.55,48.73,29.69,19.5,51.6,51.62,69.73,67.48,100.29,52.37,97.49,93.78,156.4,168.47,185.14,361.46,370.92,341.18,434.71,400.75,376.55,339.8,315.88,321.18
840.53,840.89,34.55,50.26,24.54,19.5,53.11,64.11,71.22,81.67,81.55,47.8,103.03,97.81,177.9,131.93,188.94,373.83,379.36,330.63,416.18,395.77,342.7,322.64,308.72,298.98
840.67,842.83,3.88,9.73,20.08,23.17,4.91,42.57,42.28,47.75,61.7,45.58,87.92,76.19,135.29,133.29,169.97,358.12,344.71,289.65,371.22,318.7,336.43,270.08,281.49,279.37
840.81,844.77,13.82,49.01,24.99,42.32,14.33,35.43,53.01,57.18,66.2,62.46,64.73,53.83,139.7,99.33,176.68,304.76,320.75,322.7,346.62,324.33,294.19,274.9,294.97,282.81
840.94,846.71,40.74,53.56,55.59,50.7,67.17,38.93,55.64,54.84,75.26,61.97,69.69,39.28,131,133.26,191.96,268.65,282.37,304.32,355.95,294.21,308.2,286.66,279.05,288.18
841.08,848.64,41.65,75.49,36.61,74.38,80.98,46.39,67.16,61.39,80.55,56.07,59.22,41.31,152.53,123.1,203.46,297.11,279.24,277.19,351.19,315,303.12,360.68,311.4,320.16
841.22,850.58,45.49,28.01,36.66,66.04,84.08,42.05,63.92,51.84,64.73,71.75,89.69,75.6,158.3,147.83,167.2,343.82,289.34,251.97,341.01,280.38,316.3,342.96,319.01,275.73
841.35,852.51,39.38,21.93,19.08,76.77,51.93,68.23,76.02,57.63,56.59,83.68,92.73,85.14,165.08,159.91,153.95,367.89,331.14,252.1,354.87,284.12,292.84,354.63,323.01,249.01
841.49,854.44,34.59,13.21,36.43,38.36,85.97,53.92,48.9,60.88,58.56,82.98,112.14,86.71,164.32,164.44,120.49,338.75,342.74,275.04,330.54,245.67,250.86,254.78,277.49,179.45
841.63,856.37,42.9,35.99,74.94,81.26,125.31,108.02,38.68,65.68,78.77,91.65,114.57,78.98,160.12,193.21,155.93,316.54,339.59,288.22,333.12,252.13,235.46,237.54,236.24,190.16
841.76,858.31,54.25,72.46,107.5,113.24,148.73,126.43,51.46,73.5,89.32,101.34,99.04,56.95,157.94,179.66,162.38,289.68,327.79,307.1,290.74,268.97,285.42,215.68,229.7,216.58
841.9,860.24,99.81,111.44,123.77,121.3,151.89,161.26,80.92,84.98,66.87,118.29,95.76,62.5,167.1,176.11,176.51,290.84,288.35,316,280.06,292.5,292.09,240.53,229.21,245.39
842.04,862.16,116.14,112.35,108.31,122.99,159.03,173.38,89.95,108.04,63.32,90.93,89.85,75.42,177.49,142.14,186.87,299.59,337.5,335.81,317.63,334.95,345.68,278.32,267.99,279.12
842.17,864.09,87.64,118.08,120.34,116.89,151.68,142.04,79.76,93.88,55.56,87.5,72.52,118.59,168.34,158.29,185.36,297.48,307.78,309.77,334.35,352.88,322.74,285.26,258.26,278.36
842.31,866.02,76.62,91.97,91.53,167.64,150.2,100.73,57.69,69.5,61.25,80.21,87,112.58,151.32,157.56,170.63,263.5,296.53,295.86,353.54,347.62,331.28,284.37,263.69,277.41
842.45,867.94,55.87,117.8,84.65,127.37,91.2,56.88,47.19,59.03,59.83,84.39,64.96,90.37,139.53,143.07,142.14,238.44,243.53,263.53,290.33,326.28,262.75,234.08,255.39,255.08
842.58,869.87,56.61,75.59,27.04,130.29,52.92,71.22,53.14,53.67,64.87,71.83,72.84,53.76,97.53,117.37,103.78,180.86,218.67,255.34,281.59,265.76,233.69,197.95,260.92,223.9
842.72,871.79,42.84,54.4,24.81,89.41,0,97.24,44.54,71.76,44.33,33.15,23.3,37.95,81.32,88.46,74.87,152.74,183.28,242.96,220.34,238.71,222.78,163.65,200.28,174.55
842.86,873.71,37.01,13.14,26.52,97.17,24,115.09,48.84,41.28,34.72,15.1,18.36,19.92,59.02,103.12,56.54,103.55,122.81,234.16,195.01,200.59,209.8,163.96,171.57,128.14
842.99,875.64,32.62,13.14,34.95,49.26,63.33,66.24,18,29.73,14.23,0,0,14.85,63.51,68.57,48.66,116.49,105.81,230.84,133.5,156.28,160.29,114.41,109.03,76.89
843.13,877.56,32.88,41.98,64.09,58.19,63.33,85.25,40.98,17.08,29.33,0,11.9,23.04,82.9,95.25,64.01,100.02,127.07,210.1,110.24,134.24,110.38,101.82,146.75,83.25
843.27,879.48,25.86,33.72,40.61,35.31,39.33,45.03,31.64,17.08,15.5,2.27,46.6,23.04,64.21,61.62,36.72,85.25,117.35,166.39,61.03,93.56,51.55,36.06,90.12,73.66
843.4,881.4,25.86,33.72,32.18,59.17,0,45.03,31.64,17.04,15.1,2.27,46.6,17.05,50.19,60.89,25.64,47.17,81.81,119.94,27.32,74.85,25.46,36.06,64.58,56.29
843.54,883.31,4.82,13.04,4.8,23.86,0,1.3,8.05,0,0,2.27,34.7,0,4.46,10.95,1.66,12.79,27.63,121.62,0.8,31.38,0,0,0,13.55
843.68,885.23,24.06,26,23.91,62.48,0.56,11.74,0,0,4.79,0,0,0,4.46,12.47,0,18.56,0,140.45,0,0,0,0,0,0
843.81,887.14,24.06,26,23.91,45.85,19.4,11.74,4.86,0.68,4.79,15.02,3.58,0,0,10.15,0,18.56,5.48,137.86,0,0,0,0,0,0
843.95,889.06,26.72,19.8,19.57,45.85,19.4,10.44,4.86,0.68,4.79,15.02,3.58,0,0,10.15,14.49,18.56,5.48,99.64,0,0,0,0,0,0
844.08,890.97,5.21,6.84,0,7.23,18.85,0,4.86,11.97,0,25.81,3.58,1.55,0,0,14.49,2.86,13.29,92.67,0,0,0,0,0,0
844.22,892.89,5.21,6.84,0,0,0,0,0,11.29,0,10.79,0,1.55,0,0,14.75,6.56,7.81,111.19,0,0,5.49,0.25,0,0
