WP-00790,,PS0.1ppm-1,PS0.1ppm-2,PS0.1ppm-3,PS0.5ppm-1,PS0.5ppm-2,PS0.5ppm-3,PS1.0ppm-1,PS1.0ppm-2,PS1.0ppm-3,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
808.55,370.31,38.06,19.8,28.66,94.28,42.35,76.62,2.08,0,0,0,0,7.83,17.97,0,0,0,0,0,0,0,0,0,0,0
808.69,372.48,30.5,4.95,10.63,44.65,26.57,69.84,4.19,0,0,0,0,7.83,17.97,0,0,0,0,0,0,0,0,0,0,0
808.83,374.65,11.05,11.76,10.63,0,16.79,68.36,4.19,0,18.55,0,0,7.83,27.94,1.6,0,0,0,0,0,0,0,25.16,0,17.47
808.98,376.82,0,6.81,0,0,9.9,63.89,9.79,0,18.55,0,0,0,17.61,1.6,0,0,0,0,0,0,0,25.16,0,17.47
809.12,378.99,0,6.81,0,0,9.9,63.89,7.68,0,18.55,23.01,0,0,17.61,1.6,6.51,0,0,0,0,0,0,25.16,0,17.47
809.26,381.15,0,0,4.95,0,0,13.27,17.88,0,4.9,23.01,20.38,0,7.64,0,6.51,0,0,0,0,0,0,0,0,0
809.4,383.32,0,0,4.95,6.08,0,0,10.2,0,4.9,23.01,20.38,0,0,0,6.51,0,0,0,0,0,0,0,0,0
809.54,385.48,5.55,0,4.95,6.08,0,0,10.2,0,4.9,0,20.38,0,5.93,1.83,13.23,0,0,0,0,0,0,0,0,2.84
809.69,387.64,5.55,6.77,0,6.08,0,0,2.39,5.1,5.49,0,0,0,5.93,1.83,13.23,0,0,0,0,0,0,7.15,14.81,27.33
809.83,389.8,5.55,6.77,0,0,0,0,2.39,8.2,5.49,0,0,1.89,19.24,7.16,20.95,23.55,0,0,0,0,23.39,39.41,50.84,83.42
809.97,391.96,0,6.77,0,0,0,0,2.39,8.2,5.49,0,0,1.89,13.31,14.6,7.72,23.55,8.95,0,27.9,0,26.95,90.17,73.85,107.33
810.11,394.12,0,0,0,0,0,0,6.35,12.05,14.54,0,0,1.89,13.49,43.57,17.75,49.04,44.34,37,74.1,35.38,44.02,162.56,131.62,170.21
810.25,396.28,0,0,0,0,0,0,6.35,8.95,25.34,0,0,0,1.29,39.2,21.04,53.83,63.37,49.98,98.15,70.36,59.09,218.82,156.93,199.28
810.39,398.44,0,0,0,0,0,0,28.04,15.15,42.05,0,0,0,1.29,41.48,27.31,56.24,72.66,76.16,105.68,126.82,59.91,230.41,190.89,267.33
810.54,400.6,0,0,0,0,0,0,21.68,11.9,27.51,0,0,0,1.11,12.51,18.68,32.33,41.84,39.16,59.48,91.45,42.84,209.75,186.94,209.15
810.68,402.75,0,0,0,0,0,0,28.31,16.98,29.55,0,0,0,6.65,11.86,16.69,24.86,33.79,26.18,41.34,56.47,4.39,153.76,172.99,136.95
810.82,404.91,0,0,0,0,0,0,22.32,24.88,26.01,0,0,0,6.65,5.2,11.36,60.83,32.52,24.88,5.9,0,0,155.11,156.7,84.08
810.96,407.06,0,0,0,0,0,0,28.74,32.64,34.84,0,0,5.03,6.65,6.31,9.97,59.24,27.97,24.88,5.9,0,0,102.56,128.51,86.65
811.1,409.21,0,0,0,0,0,0,22.11,27.57,22,0,0,5.03,0,6.01,0.94,38.37,18.05,24.88,0,0,0,77.03,81.12,73.68
811.24,411.36,0,0,0,0,0,0,6.42,13.46,8.82,0,0,5.03,0,1.11,0,0,1.08,0,0,0,0,23.51,40.46,48.6
811.38,413.51,0,0,0,0,0,0,18.85,7.13,0,0,0,0,3.27,1.18,0,40.97,7.27,15.4,0,0,0,77.01,102.97,76.86
811.53,415.66,0,0,0,0,0,0,23.59,20.46,19.56,0,0,0,9.44,1.18,0.16,64.46,34.08,39.8,8.19,8.59,0,152.21,203.4,150.68
811.67,417.81,0,0,0,0,0,0,45.78,23.2,19.56,0,0,0,9.44,1.18,9.45,74.24,83.43,39.8,8.36,8.59,0,185.98,255.35,201.21
811.81,419.96,0,0,0,0,0,0,31.56,21.54,31.55,0,0,0,6.17,0,9.45,41.93,78.62,24.41,8.36,8.59,0,150.68,170.05,141.19
811.95,422.11,0,0,0,0,0,0,32.64,12.2,35.11,0,0,0,0,0,9.28,18.44,60.5,0,0.17,0,0,75.96,86.67,67.37
812.09,424.25,0,0,0,0,0,0,15.24,33.71,39.15,0,0,0,2.25,0,0,8.65,11.15,0,0,0,0,37.74,50.11,9.22
812.23,426.4,0,0,0,0,0,0,28.69,30.41,43.11,0,0,0,12.97,0,0,11.52,28.54,0,0,0,0,47.67,71.71,14.67
812.38,428.54,0,0,0,0,0,0,29.9,27.86,29.15,0,0,0,22.14,0,0,27.04,18.78,0,0,0,0,59.32,62.01,36.22
812.52,430.68,0,0,0,0,0,0,37.96,47.5,37.05,0,0,0,19.9,0,0.44,68.04,22.74,0,9.75,36.08,43.5,107.81,129.82,80.09
812.66,432.83,0,0,0,0,0,0,48.65,71.11,47.93,0,0,0,9.17,0,13.28,71.67,11.93,0,9.75,46.74,43.5,133.57,155.9,103.57
812.8,434.97,0,0,0,0,0,0,53.76,97.47,70.22,0,0,0,0,0,13.28,56.14,11.93,0,9.75,46.74,43.5,138.74,148.55,82.01
812.94,437.11,0,0,0,0,0,0,40.91,55.02,59.71,0,0,0,0,0,12.85,15.14,7.97,0,0,10.66,0,84.54,65.35,28.93
813.08,439.24,0,0,0,0,0,0,15.62,29.23,32.89,0,0,0,0,0,0,0,0,0,0,0,0,24.29,0,0
813.22,441.38,0,0,0,0,0,0,3.49,1.44,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.36,443.52,0,0,0,0,0,0,9.84,0,2.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.51,445.65,0,0,0,0,0,0,6.36,8.97,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.65,447.79,1.72,0,0,0,0,0,43.65,65.78,37.77,0,0,0,2.42,0,7.05,24.51,1.07,10.12,0,8.34,0,30.87,28.01,0
813.79,449.92,1.72,0,0,0,0,0,39.77,88.74,52.77,0,0,0,2.42,0,7.05,24.51,1.07,10.12,0,8.34,0,30.87,28.01,0
813.93,452.05,1.72,0,0,0,0,0,39.77,91.76,54.42,0,0,0,2.42,0,7.05,24.51,1.07,10.12,0,8.34,0,30.87,28.01,0
814.07,454.19,0,0,0,0,0,0,2.47,34.95,22.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.21,456.32,0,0,0,0,0,0,13.62,24.7,10.08,0,0.83,1.6,0,0,0,0,0,0,0,0,0,0,0,0
814.35,458.45,0,0,0,0,0,0,33.93,33.41,21.1,3.74,0.83,1.6,0,0,0,0,0,0,0,0,0,0,0,0
814.49,460.57,0,0,0.83,0,0,0,64.81,40.35,40.53,3.74,0.83,1.6,0,0,0,0,0,0,0,0,0,0,0,0
814.64,462.7,0,0,0.83,0,0,0,51.2,27.64,51.05,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.78,464.83,0,0,0.83,0,0,0,34.56,6.93,35.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.92,466.95,0.82,0,0,0,0,0,5.9,21.21,16.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.06,469.08,5.82,0,0,0,0,0,25.21,26.83,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.2,471.2,5.82,0,0,0,0,0,26.05,26.83,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.34,473.32,12.19,0,0,0,0,0,23.83,5.62,5.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.48,475.45,7.18,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.62,477.57,7.18,4.61,0,0,0,0,0,16.95,29.39,0,0,12.08,0,0,0,0,0,0,0,0,0,0,0,0
815.76,479.69,0,26.28,3.78,10.91,0,0,0,22.49,35.71,0,5.12,19.3,0,0,0,0,0,0,0,0,0,0,0,0
815.91,481.8,15.2,26.28,20.39,10.91,0,0,0,22.49,35.71,0.14,10.96,19.3,0,0,0,0,0,0,0,0,0,0,0,0
816.05,483.92,20.62,51.48,20.39,10.91,0,0,0,5.54,6.31,0.14,10.96,7.22,0,0,0,0,0,0,0,0,0,0,0,0
816.19,486.04,20.62,29.81,22.7,15.59,0,0,0,0,0,0.14,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0
816.33,488.15,5.41,50.64,15.13,15.59,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.47,490.27,24.79,41.35,38.23,40.53,0,59.79,0,1.37,0,5.2,9.49,3.13,0,0,0,0,0,0,0,0,0,0,0,0
816.61,492.38,34.02,43.75,32.15,43.92,4,69.41,1.78,9.61,0,14.68,47.25,3.13,0,0,0,0,0,0,0,0,0,0,0,0
816.75,494.49,44.77,22.92,23.1,43.92,12.95,60.81,1.78,9.61,0,20.54,47.25,3.13,0,0,0,0,0,0,0,0,0,0,0,0
