,Wavenumber,PS0.1ppm-1,PS0.1ppm-2,PS0.1ppm-3,PS0.5ppm-1,PS0.5ppm-2,PS0.5ppm-3,PS1.0ppm-1,PS1.0ppm-2,PS1.0ppm-3,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
count,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0
mean,1244.1748207171315,63.88962151394423,63.09507968127489,61.769661354581665,110.06786852589642,109.37671314741036,109.4998705179283,24.159511952191238,23.838336653386456,24.02591633466135,53.89996015936255,54.38235059760955,54.99767928286853,51.85887450199203,51.68609561752988,51.64303784860558,100.43936254980079,103.50460159362551,101.86558764940239,122.98234063745019,122.71555776892431,125.34762948207172,107.29171314741035,108.31325697211156,106.82360557768924
std,491.99479388327165,322.70025119156463,318.7462817297544,318.4953901156344,599.4771355034854,599.1090933414216,595.8372136836138,35.95724843915218,35.27262768960971,35.73782429026656,255.42338882280382,256.43600012473416,256.6616050401528,139.85212658767438,139.65927724620386,137.32565984214793,207.95786327019306,214.18428734411242,210.96084385740917,246.64303459384075,243.90292479880478,247.27030682160608,198.02253405930242,199.11605154106934,200.6566568766187
min,311.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,830.6949999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.2225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1286.495,16.05,13.690000000000001,14.14,17.365000000000002,17.76,18.6,13.305,12.684999999999999,12.57,14.0,12.04,13.835,13.045,13.695,14.15,15.35,15.585,19.36,11.53,9.175,11.075,30.880000000000003,30.47,28.035
75%,1678.8975,45.5225,46.1025,42.195,71.2975,66.5825,67.9825,33.4025,32.337500000000006,32.3075,41.34,43.412499999999994,40.269999999999996,60.317499999999995,55.975,56.6275,120.7275,123.8575,120.795,144.39249999999998,140.84,142.1575,156.0225,151.15,149.5725
max,2008.41,5212.46,5238.49,5179.58,9639.89,9720.25,9737.53,342.78,323.77,329.77,4231.83,4155.79,4254.57,2035.36,2015.93,1948.8,2533.55,2562.13,2549.23,2537.18,2459.87,2401.27,2247.51,2219.3,2278.2
