,Wavenumber,PS0ppm-1,PS0ppm-2,PS0ppm-3,PS0.05ppm-1,PS0.05ppm-2,PS0.05ppm-3,PMMA0ppm-1,PMMA0ppm-2,PMMA0ppm-3,PMMA0.05ppm-1,PMMA0.05ppm-2,PMMA0.05ppm-3,PMMA0.1ppm-1,PMMA0.1ppm-2,PMMA0.1ppm-3,PE0ppm-1,PE0ppm-2,PE0ppm-3,PE0.01ppm-1,PE0.01ppm-2,PE0.01ppm-3,PLA0ppm-1,PLA0ppm-2,PLA0ppm-3,PLA0.05ppm-1,PLA0.05ppm-2,PLA0.05ppm-3,PLA0.1ppm-1,PLA0.1ppm-2,PLA0.1ppm-3,PLA0.5ppm-1,PLA0.5ppm-2,PLA0.5ppm-3,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3
count,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0,974.0
mean,1271.9295790554413,58.8190657084189,59.111488706365506,58.98645790554415,56.7879363449692,56.31253593429158,56.67563655030801,21.193264887063652,20.447145790554416,20.869897330595485,18.09046201232033,17.91546201232033,17.897032854209446,16.782340862423,17.156386036960985,17.181283367556468,15.111581108829569,14.985913757700205,15.093562628336757,15.40299794661191,15.54335728952772,14.789876796714578,25.949681724845995,26.191837782340862,26.271755646817248,21.39194045174538,21.774445585215602,21.501519507186853,40.34456878850103,40.83660164271047,40.611509240246406,23.536314168377817,24.5085112936345,23.35512320328542,23.756406570841886,23.977381930184805,23.812268993839833,72.53496919917865,73.42235112936345,72.83352156057495,36.49526694045175,36.096940451745375,36.345256673511294
std,472.97398363678866,93.36314737089126,96.64027920165627,94.81965902596562,91.79761789577213,91.52028735403479,93.17047278801905,27.985245749657345,27.101756041627162,27.482271269142267,23.172194284685453,23.655656847051656,23.41404278883329,21.15774666764503,21.132035486957836,21.506307698152085,18.1342738634914,18.270759225860555,17.37344521092755,20.69630142683114,20.02783441124317,19.579895969907774,39.5127158842332,39.33936381456109,40.204428740338315,27.73207391024618,27.402019971352416,28.265154673311038,70.23400627019258,70.64845604886074,71.03256941472826,35.699371159731534,36.198236622450246,36.36138506547812,35.00501937320704,34.48871942458447,34.28810994413565,145.06311999003273,146.66607303168786,141.51783133382023,50.95224820761773,49.802083679611066,51.4006846792353
min,376.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,874.1925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7825,0.0,0.0,0.005,0.67,0.0,0.0,0.54,0.0,0.0,0.0,0.2125,0.0,0.19,0.0,0.0,0.0,0.555,1.4175,1.18,1.0975000000000001,0.5750000000000001,1.4324999999999999,0.0,0.0,0.0,0.0,0.0,0.0
50%,1311.75,14.255,13.305,12.8,10.54,12.525,9.85,9.86,10.4,10.08,9.46,8.79,9.69,9.205,9.37,9.23,7.865,8.275,8.94,7.494999999999999,8.61,7.55,10.74,11.085,10.36,13.129999999999999,13.585,13.325,15.84,13.614999999999998,13.58,11.88,13.215,12.09,13.58,13.3,14.024999999999999,18.564999999999998,16.42,18.5,12.615,10.33,9.690000000000001
75%,1689.6625,73.3225,71.2525,70.305,66.48249999999999,68.4625,73.705,30.6175,29.425,30.085,26.365000000000002,25.6175,26.33,23.3525,24.955,24.17,23.23,21.92,22.75,21.1425,22.41,20.16,34.5725,33.165,34.6875,29.560000000000002,31.9625,29.8275,55.3275,52.307500000000005,55.7475,31.61,33.067499999999995,30.0425,32.434999999999995,33.32,32.214999999999996,90.13250000000001,87.62,86.4925,52.24,53.695,54.8025
max,2008.41,512.01,530.51,537.15,467.91,470.75,460.02,151.98,147.59,160.5,116.79,123.67,138.82,114.46,105.52,113.81,93.88,95.97,84.77,149.86,140.24,136.74,270.61,312.58,298.65,223.92,236.66,245.19,608.43,612.27,685.82,329.89,330.02,337.45,368.24,274.56,368.97,1407.48,1440.72,1333.83,246.85,215.45,255.75
