WP-00790,,PE0.05ppm,PE0.1ppm,PE0.5ppm,PE1ppm,PE5ppm,PE10ppm,PE50ppm,PE100ppm,PE200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
822.79,584.38,119.98,176.3,226.81,183.78,155.34,30.83,159.49,0,0
822.93,586.45,131.66,207.79,245.09,183.71,162.79,33.56,178.27,0,0
823.07,588.51,142.77,189.37,228.76,179.72,168.66,42.04,176.08,0,0
823.21,590.58,122.54,154.94,201.39,138.04,147.15,47.16,154.12,18.15,0
823.35,592.64,71.85,107.7,143.19,101.23,117.84,46.13,130.31,18.96,10.63
823.49,594.71,34.19,68.9,103.4,47.17,77.6,48.19,109.85,18.96,19.58
823.63,596.77,0.79,50.63,58.78,34.98,39.43,42.77,96.85,0.82,73.81
823.77,598.83,0,31.56,27.94,14.88,16.24,29.87,97.33,11.2,100.3
823.91,600.89,1.9,23.13,7.45,12.89,4.94,15.95,95.06,11.2,113.01
824.05,602.95,1.9,6.25,15.16,0,4.94,19.55,82.59,13.98,68.48
824.19,605.01,1.9,0.09,15.16,0,0,8.12,41.7,2.78,31.35
824.33,607.07,0,0.09,15.16,0,0,8.12,25.29,4.3,14.47
824.47,609.13,0,0,0,0,0,5.75,20.35,1.52,37.03
824.61,611.18,0,0,0,0,0,5.75,33.11,1.52,70.4
824.75,613.24,0,0,0,0,0,5.75,21.84,0,76.06
824.89,615.29,0,0,0,0,0,0,15.35,0,62.17
825.03,617.35,0,0,0,0,0,0,0,0,44.94
825.17,619.4,0,0,0,0,0,0,5.52,0,54.27
825.31,621.45,0,0,0,0,0,3.66,5.52,0,36.49
825.45,623.5,0,0,0,0,0,3.66,11.26,0,24.05
825.59,625.55,0,0,0,0,0,3.66,8.26,0,4.29
825.73,627.6,2.5,0,0,0,0,0,10.45,0,3.7
825.87,629.64,2.5,0,0,0,0,0,11.87,8.95,27.28
826.01,631.69,2.5,0,0,0,0,0,26.33,19.01,27.28
826.15,633.73,0,0,0,0,0,0.47,30.28,33.48,29.83
826.29,635.78,0,0,0,0,0,0.47,23.13,49.27,35.22
826.43,637.82,1.97,0,0,0,2.72,7.77,18.16,76.08,80.23
826.57,639.86,1.97,0,0,0,2.72,7.3,38.24,112.9,102.99
826.7,641.9,1.97,0,0,0,2.72,19.4,68.73,126.29,121.66
826.84,643.94,0.64,0,0,0,0,24.37,66.35,163.6,124.9
826.98,645.98,11.58,0,0,0,0,27.8,54.23,170.81,143.39
827.12,648.02,19.02,5.18,0,0,0,15.7,23.74,185.38,95.9
827.26,650.06,38.98,12.07,0,0,0,3.43,23.17,176.42,58.87
827.4,652.09,44.6,12.07,0,0,0,0,9.07,170.7,15.08
827.54,654.13,56.65,7.77,0,1.88,0,0,11.91,176.69,11.23
827.68,656.16,55.69,15.45,17.29,3.78,5.74,0,11.27,142.93,0
