WP-00790,,PMMA0.5ppm-1,PMMA0.5ppm-2,PMMA0.5ppm-3,PMMA1ppm-1,PMMA1ppm-2,PMMA1ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
809.4,383.32,0,0,2.49,5.09,1.76,0,0,0,0,0,0,0,127.18,114.49,99.8,60.98,51.12,71.91,89.65,124.87,140
809.54,385.48,0,0,0.36,4.08,0,3.03,0,0,0,0,0,0,118.93,120.29,123.24,63.35,75.05,76.64,139.93,133.45,165.35
809.69,387.64,16.3,16.07,0.36,4.08,0,7.1,0,9.94,2.85,9.84,3.38,19.48,158.52,149.61,140.17,88.3,110.23,72.62,162.32,160.8,197.82
809.83,389.8,24.2,16.07,0,0,0,7.1,0,22.9,2.85,16.51,10,19.58,191.85,201.99,206.51,97.04,151.87,113.06,208.71,226.16,184.63
809.97,391.96,41.22,16.07,0,0,0,4.07,0,22.9,2.85,16.51,12.07,19.58,229.91,234.1,224.25,130.93,163.99,115.3,218.12,268.52,230.77
810.11,394.12,54.92,11.91,13,15.17,12.67,23.62,0,15.2,27.79,29.56,21.38,13.97,288.04,260.61,291.06,160.62,209.58,163.68,283.53,351.9,296.6
810.25,396.28,55.19,14.61,24.9,15.17,25.37,23.62,0,2.24,27.79,32.18,14.75,30.59,285.92,266.2,314.28,201.11,201.64,192.53,295.29,379.95,373.1
810.39,398.44,76.15,47.05,48.67,27.48,25.37,34.4,0,15.6,40.03,59.82,25.29,44.43,344.98,258.98,331.35,204.86,225.63,211.64,321.19,400.8,372.4
810.54,400.6,54.57,35.13,51.27,21.64,12.69,10.78,0,13.36,12.24,36.93,12.6,40.16,289.68,239.39,319.39,190.98,197.99,220.78,281.32,354.57,312.27
810.68,402.75,47.79,39.51,39.37,21.64,4.73,10.78,2.38,13.36,29.34,27.64,12.6,23.45,266.68,250.44,300.4,170.13,187.38,200.28,267.37,328.91,236.05
810.82,404.91,11.59,7.07,36.34,9.33,17.98,6.94,2.38,0,20.97,11.07,13.93,14.85,216.77,234.91,292.5,160.76,162.59,194.6,241.45,292.95,230.53
810.96,407.06,5.29,7.07,35.21,0,17.98,6.94,2.38,0,20.97,11.07,13.93,5.82,222.28,208.47,245.68,165.88,137.28,159.4,233.9,283.01,213.04
811.1,409.21,16.13,0,37.18,0,13.25,6.94,0,0,3.87,11.07,13.93,5.82,226.11,159,199.84,150.37,110.35,141.25,200.26,252.34,191.14
811.24,411.36,14.36,0,16.45,0,0,0,0,0,0,1.98,0,0.57,220.24,137.85,174.99,137.9,97.8,121.47,143.23,233.26,165.84
811.38,413.51,17.36,0,5.94,0,0,0,0,0,0,23.53,0,5.78,228.26,164.9,203.34,151.04,108.52,140.62,161.01,230.66,198.68
811.53,415.66,5.13,18.17,18.01,0,0,0,3.72,5.94,0,23.53,16.31,10.54,262.37,234.72,260.45,181.66,170.73,179.93,227.84,288.45,270.57
811.67,417.81,10.59,18.17,18.01,0,0,0,3.72,5.94,0,32.49,16.31,10.54,261.47,270.53,265.89,197.34,179.99,209.29,287.27,289.5,292.06
811.81,419.96,5.47,18.17,14.04,0,0,0,3.72,5.94,0,10.93,16.31,4.75,224.9,281,227.99,164.73,143.31,182.03,269.31,254.83,278.16
811.95,422.11,5.47,0,7.85,0,0,0,0,0,0,10.93,5.39,4.23,192.32,232.13,160.08,120.84,97.01,163.83,223.62,174.76,209.86
812.09,424.25,0,0,7.85,0,0,0,3.29,13.37,9.87,0,9.7,4.23,176.63,191.48,119.06,104.23,62.66,111.9,202.44,151.2,182.41
812.23,426.4,0,0,11.14,0,0,0,3.29,13.37,15.4,24.33,27.57,4.23,220.61,171.16,133.04,93.01,89.37,126.03,197.88,175.59,163.56
812.38,428.54,0,0,3.29,0,0,0,4.89,13.37,15.4,29.9,22.18,21.09,231.7,188.29,164.13,91.62,102.91,118.32,217.04,207.38,229.45
812.52,430.68,0,10.31,5.13,0,0,0,2.55,0.85,5.53,37.7,41.99,24.15,246.02,231.65,218.79,126.52,149.07,151.9,255.72,263.68,274.51
812.66,432.83,25.18,13.82,13.63,0.92,7.13,0,5.7,20.6,31.24,42.57,55.71,46.03,251.79,263.79,194.89,147.59,165.08,166.65,276.8,270.71,289.65
812.8,434.97,30.57,13.82,13.63,0.92,7.13,0,4.09,26.9,31.24,41.58,55.71,26.28,204.24,215.27,171.34,143.73,141.15,118.47,213.18,202.04,213.74
812.94,437.11,30.57,3.51,11.79,0.92,7.13,0,3.14,26.06,31.24,33.78,31.59,23.22,124.58,129.5,84.54,71.81,77.4,70.75,115.18,97.41,107.68
813.08,439.24,5.39,0,0,0,0,0,0,6.3,0,4.58,0,1.34,27.59,31.39,38.73,22.55,21,2.36,21.54,11.47,34.96
813.22,441.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.36,443.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
813.51,445.65,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0,0,0,0
813.65,447.79,14.61,24.35,20.52,3.57,3.01,10.74,31.18,25.42,0,8.39,21.14,3.92,26.54,32.4,62.34,16.33,10.67,25.16,40.59,29.1,34.77
813.79,449.92,14.61,24.35,20.52,3.57,3.01,10.74,31.18,25.42,0,8.39,21.14,3.92,26.54,35.72,66.59,16.33,10.67,25.16,40.59,29.1,34.77
813.93,452.05,14.61,24.35,20.52,3.57,3.01,10.74,31.18,25.42,0,8.39,21.14,3.92,24.87,35.72,66.59,16.33,10.67,25.16,40.59,29.1,34.77
814.07,454.19,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,4.25,0,0,0,0,0,0
814.21,456.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.35,458.45,0,4.61,0,0,0,0,3.58,0,0,4.51,0,0.7,0,0,0,0,0,0,0,0,0
814.49,460.57,0,4.61,0,0,0,0,3.58,0,0,4.51,0,0.7,0,0,0,0,0,0,0,0,0
814.64,462.7,0,4.61,0,0,0,0,3.58,0,0,4.51,0,0.7,0,0,0,0,0,0,0,0,0
814.78,464.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
814.92,466.95,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
815.06,469.08,0,4.96,10.48,0,0,0,0,0,6.07,1.66,3.83,5.82,0,0,0,0,0,0,0,0,0
815.2,471.2,0,9.62,10.48,0,0,0,0,0,6.07,1.66,3.83,5.82,0,0,0,0,0,0,0,0,0
815.34,473.32,0,4.67,11.4,0,0,0,0,0,6.07,19.61,3.83,7.71,0,0,0,0,0,0,0,0,0
815.48,475.45,0,4.67,0.92,4.66,0,0,0,3.06,9.59,17.95,0,6.94,0,0,0,0,0,0,0,0,0
815.62,477.57,13.46,1.47,0.92,4.66,0,12.28,32.85,7.91,9.59,47.33,15.02,16.35,0,0,0,0,0,0,0,0,0
815.76,479.69,19.97,17.3,3.93,15.5,8.09,23.9,56,14.41,22.63,29.37,25.57,14.46,0,0,0,0,0,0,0,0,0
815.91,481.8,19.97,17.3,3.93,10.84,8.09,28.4,56,11.35,13.04,29.37,25.57,9.41,0,0,0,0,0,0,0,0,0
816.05,483.92,6.52,15.84,3.93,10.84,8.09,16.13,23.15,6.5,13.04,0,10.56,0,0,0,0,0,0,0,0,0,0
816.19,486.04,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.33,488.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816.47,490.27,0,0,0,2.99,19.33,6.42,0,5.19,18.08,0,0,0,0,0,0,0,0,0,0,0,0
816.61,492.38,2.47,0.34,0,3.07,19.33,6.42,0,13.45,19.24,0.13,0,0,0,0,0,0,0,0,0,0,0
816.75,494.49,2.47,0.34,0,3.07,19.33,6.42,0,13.45,19.24,0.13,0,0,0,0,0,0,0,0,0,0,0
816.89,496.61,2.47,0.34,0,0.08,0,0,0,8.26,1.16,0.13,0,0,0,0,0,0,0,0,0,0,0
817.03,498.72,1.95,13.78,0.92,5.64,22.79,15.37,0,3.78,23.03,17.58,0,10.74,0,9.49,0,0,9.05,0,0.45,0,22.88
