WP-00790,,PE0.05ppm-1,PE0.05ppm-2,PE0.05ppm-3,PE0.1ppm-1,PE0.1ppm-2,PE0.1ppm-3,PE0.5ppm-1,PE0.5ppm-2,PE0.5ppm-3,PE1ppm-1,PE1ppm-2,PE1ppm-3,PE5ppm-1,PE5ppm-2,PE5ppm-3,PE10ppm-1,PE10ppm-2,PE10ppm-3,PE50ppm-1,PE50ppm-2,PE50ppm-3,PE100ppm-1,PE100ppm-2,PE100ppm-3,PE200ppm-1,PE200ppm-2,PE200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
813.36,443.52,181.05,189.88,186.91,119.41,151.96,151.22,98.83,82.2,68.58,215.99,218.79,237.32,133.04,125.9,133.61,464.91,508.88,443.79,224.3,252.76,182.16,113.09,104.57,104.2,159.89,0,0
813.51,445.65,189.34,189.43,194.15,124.32,161.49,151.12,105.09,86.91,84.94,229.64,222.46,236.82,145.86,120.99,137.32,542.25,557.16,486.61,239.64,239.97,181.92,132.97,107.16,123.73,194.64,0,0
813.65,447.79,217.58,227.93,212.01,165.52,202.32,184.63,119.62,117.9,121.25,254.24,262.41,272.62,188.62,129.34,150.97,638.14,593.65,566.97,246.9,257.12,220.94,177.44,150,189.52,259.27,0,0
813.79,449.92,208.55,223.82,215.27,165.46,210.56,188.22,116.88,113.95,123.94,261.57,262.42,276.13,191.43,137.09,172.67,704.34,641.79,611,234.87,241.65,217,186.95,183.2,159.66,276.21,0,0
813.93,452.05,248.13,252,245.8,191.35,224.76,195.1,142.74,131.27,130.91,283.51,294.37,290.27,192.18,169.44,207.64,757.08,712.13,661.9,255.1,270.12,235.67,195.05,195.65,176.05,287.69,0,0
814.07,454.19,263.77,256.23,268.06,198.31,226.71,215.04,172.67,152.65,135.94,312.19,310.06,308.8,188.32,188.51,211.33,783.13,776.13,690.13,290.7,269.63,231.72,174.19,170.46,142.13,299.16,0,0
814.21,456.32,299.47,287.86,307.39,244.35,243.4,215.39,196.98,168.41,146.35,336.59,346.8,345.39,224.51,214.29,240.75,825.18,835.78,744.35,311.68,283.85,242.48,163.03,145.62,144.24,318.94,0,0
814.35,458.45,323.79,315.78,333,260.01,265.06,253.7,225.24,199.46,178.38,359.6,360.83,378.59,275.97,229.03,264.11,865.77,852.31,754.12,321.25,284.01,243.17,137.47,137.37,122.27,333.27,0,0
814.49,460.57,325.39,328.64,330.55,276.96,275.35,243.96,220.77,188.44,201.68,364.91,357.47,376.09,289.37,252.37,286.07,885.23,832.39,769.11,313.08,302.11,220.81,104.49,129.04,110.55,322.81,0,0
814.64,462.7,331.38,337.24,348.17,283.32,289.05,264.3,246.04,221.49,215.71,378.61,363.51,367.97,278.16,271.43,274.76,871.02,833.45,753.09,314.63,296.93,234.82,89.9,125.4,97.19,307.67,0,0
