WP-00790,,PS0.1ppm,PS0.5ppm,PS1ppm,PS5ppm,PS10ppm,PS50ppm,PS100ppm,PS200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
825.45,623.5,0,2.34,38.78,6.45,20.58,82.3,84.77,331.99
825.59,625.55,0,2.34,63.62,0,58.15,59.63,31.28,184.33
825.73,627.6,0,25.11,58.93,0,90.71,37.49,14.17,75.76
825.87,629.64,0,22.77,93.57,30.08,115.46,39.22,25.26,52.18
826.01,631.69,17.14,28.87,76.56,48.97,138.73,102.38,63.98,91.92
826.15,633.73,17.14,9.72,98.1,97.11,173.09,146.74,125.43,148.87
826.29,635.78,20,9.72,41.66,97.97,213.97,170.97,173.12,168.15
826.43,637.82,20.82,42.67,86.22,128.7,258.73,197.75,247.04,216.43
826.57,639.86,20.82,75.89,95.02,160.85,266.91,198.3,297.09,246.59
826.7,641.9,17.96,92.72,132.28,215.42,327.75,291.86,365.82,328.19
826.84,643.94,0,89.71,121.11,234.75,338.35,308.86,377.03,320.69
826.98,645.98,16.64,76.86,124.06,211.83,340.29,323.53,345.26,263.96
827.12,648.02,31.85,83.4,139.7,169.79,292.78,232.11,285.75,133.79
827.26,650.06,66.39,73.22,170.59,102.95,306.06,145.47,191.71,37.94
827.4,652.09,69.16,69.76,188.82,45.57,337.23,89.41,113.27,0
827.54,654.13,93.53,75.58,202.64,2.11,376.2,78.82,70.31,0
827.68,656.16,105.64,66.47,193.82,21.88,350.73,98.8,89.62,0
827.82,658.2,122.36,77.3,178.24,30.6,326.07,120.59,136.43,0
827.96,660.23,139.58,71.98,133.8,30.6,286.42,116.42,180.95,0
828.1,662.26,150.75,63.28,97.28,8.72,257.25,132.72,180.3,0
828.24,664.29,177.99,67.98,118.8,19.09,273,149.95,225.6,27.2
828.38,666.32,153.5,99.64,146.89,57.78,314.24,206.34,276.4,74.85
828.52,668.34,149.53,120.15,162.14,59.95,337.51,218.44,347.27,101.13
828.65,670.37,114.17,98.95,145.98,40.86,334.6,201.36,285.32,73.93
828.79,672.4,132.65,43.42,134.63,2.17,281.41,125.68,208.77,26.28
828.93,674.42,144.09,24.7,150.21,33.36,299.71,99.49,165.73,0
829.07,676.45,159.92,62.72,124.82,62.3,277.95,103.25,175.33,23.35
829.21,678.47,156.71,78.24,131.71,69.8,296.36,121.51,202.12,26.55
829.35,680.49,136,78.42,101.41,36.44,254.17,93.51,172.33,26.55
829.49,682.51,111.7,77.02,121.49,7.51,252.6,52.81,153.84,3.19
829.63,684.53,75.35,74.25,111.84,17.75,299.88,64.61,202.88,37.69
829.77,686.55,59.4,81.57,135.23,41.84,350.78,142.05,267.24,85.46
829.91,688.57,63.63,30.08,148.46,41.84,409.09,127.76,355.69,133.73
830.04,690.58,105.82,65.23,166.95,37.95,388.93,167.13,323.69,117.69
830.18,692.6,132.41,68.14,143.16,22.71,369.74,103.49,279.67,95.03
830.32,694.61,150.84,104.26,108.88,22.71,325.63,134.74,214.76,46.76
830.46,696.63,183.01,94.12,89.31,8.85,310.17,101.82,179.17,25.11
830.6,698.64,185.26,130.08,135.79,27.26,344.35,140.22,201.91,24.38
830.74,700.65,190.24,115.13,173.34,60.95,359.53,228.94,285.32,69.14
830.88,702.66,153.95,103.27,164.94,110.84,365.02,230.98,375.4,117.71
831.02,704.67,149.85,67.96,162.38,102.67,326.95,241.13,405.6,128.59
831.16,706.68,129.6,70.18,176.66,68.98,290.65,168.05,344.92,83.83
831.29,708.69,126.98,96.06,201.9,33.69,323.91,179.52,320.8,89.83
831.43,710.69,135.88,115.81,194.3,22.85,336.61,150.43,285.14,79.67
831.57,712.7,185.96,166.78,200.22,48.95,387.76,157.46,266.61,79.67
