1,1,1,5,5,5,10,10,10,50,50,50,100,100,100,200,200,200,300,300,300,400,400,400,500,500,500,600,600,600
251.89,269.07,244.16,350.9,305.11,304.65,300.81,320.2,309.96,347.08,344.37,332.57,277.99,300.79,337.83,400.11,426.7,418.37,616.19,649.06,623.96,668.26,649.97,699.98,917.54,977.58,935.96,1018.87,965.01,1087.99
