1,1,1,5,5,5,10,10,10,50,50,50,100,100,100,200,200,200
80.43,139.8,70.94,113.07,101.33,125.24,190.9,190.84,175.52,659.74,689.97,690.69,851.94,829.91,828.08,1017.8,1017.7,1019.23
