wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
456.32,0,0,0,0,0,0,13.62,24.7,10.08,0,0,0,521.48,482.81,473.77,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,33.93,33.41,21.1,0,0,0,573.76,534.06,539.06,0,0,0,0,0,0,0,0,0
460.57,0,0,0.83,0,0,0,64.81,40.35,40.53,0,0,0,619.47,583.41,568.45,0,0,0,0,0,0,0,0,0
462.7,0,0,0.83,0,0,0,51.2,27.64,51.05,0,0,0,575.28,573.21,532.95,0,0,0,0,0,0,0,0,0
464.83,0,0,0.83,0,0,0,34.56,6.93,35.83,0,0,0,495.2,508.1,455.22,0,0,0,0,0,0,0,0,0
466.95,0.82,0,0,0,0,0,5.9,21.21,16.41,0,0,0,471.34,455.22,444.04,0,0,0,0,0,0,0,0,0
469.08,5.82,0,0,0,0,0,25.21,26.83,5.42,0,0,0,463.26,454.79,394.31,0,0,0,0,0,0,0,0,0
471.2,5.82,0,0,0,0,0,26.05,26.83,5.42,0,0,0,411.19,385.02,320.92,0,0,0,0,0,0,0,0,0
473.32,12.19,0,0,0,0,0,23.83,5.62,5.42,0,0,0,315.89,259.37,197.97,0,0,0,0,0,0,0,0,0
475.45,7.18,0,0,0,0,0,4.51,0,0,0,0,0,178.16,142.95,147.26,0,0,0,0,0,0,0,0,0
477.57,7.18,4.61,0,0,0,0,0,16.95,29.39,0,0,0,107.44,66.06,96.56,0,0,0,0,0,0,0,0,0
