wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
1473.52,40.05,8.08,28.13,148.3,101.11,53.39,305.81,244.62,265.06,476.2,446.48,359.43
1475.09,9.81,8.08,6.22,120.04,50.73,39.3,258.67,226.55,248,405.16,396.59,302.47
1476.67,0,8.08,12.65,94.6,81.64,77.36,197.68,224.97,180.76,350.54,379.79,307.59
1478.24,0,0,16.61,62.54,55.93,100.59,169.07,190.43,162.22,315.89,385.62,269.34
1479.81,0,0,16.61,22.81,55.95,95.28,180.4,170.82,159.95,297.1,378.31,281.27
1481.38,0,0,15.96,6.72,8.66,80.78,180.22,156.03,195.15,309.72,332.74,282.94
1482.95,0,0,12,0,8.66,63.21,165.97,113.84,207.29,295.2,267.35,296.46
1484.52,0,0,12,0,8.64,38.48,157.88,109.79,172.57,320.09,247.38,296.06
1486.09,0,0,0,0,0,16.97,99.38,97.01,153.1,280.51,286.93,319.51
1487.66,0,0,0,0.27,0,11.32,77.71,81.35,120.45,233.67,312.88,319.69
1489.22,0,0,0,0.27,0,11.32,55.07,50.09,80.1,178.8,309.8,299.17
1490.79,0,0,0,0.27,0,0,62.59,9.97,78.96,188.67,251.13,257.39
1492.35,0,0,0,0,0,0,56.15,9.97,39.59,198.18,202.42,225.23
1493.92,0,0,0,0,0,0,37.56,2.8,47.58,190.99,157.01,214.37
1495.48,0,0,0,0,0,0,25.68,11.45,7.99,160.43,161.89,158.8
1497.04,0,0,0,0,0,0,0,11.45,7.99,108.94,171.85,155.63
1498.6,0,0,0,0,0,0,0,11.45,0,119.87,179.88,143.86
1500.16,0,0,0,0,0,0,0,1.53,0,127.86,136.98,179.83
1501.72,0,0,0,0,0,0,0,1.53,0,166.49,103.37,183.09
1503.27,0,0,0,0,0,0,0,1.53,0,139.42,134.06,168.97
1504.83,0,0,0,0,0,0,0,0,0,162.98,141.71,163.15
1506.38,0,0,0,0,0,0,0,0,0,186.61,217.09,150.39
1507.94,0,0,0,0,0,0,0,0,0,175.31,175.21,184.69
1509.49,0,0,0.03,0,0,0,19.38,0,0,165.41,195.4,173.73
1511.04,0,0,0.03,0,0,0,19.38,9.52,0,147.93,170.99,168.83
1512.59,0,0,0.03,0,0,0,36.99,9.52,12.16,178.18,195.98,187.67
1514.14,0,0,2.26,0,0,0,17.61,9.52,12.16,187.27,198.49,188.01
1515.69,0,0,2.26,0,0,0,17.61,0,12.16,206.44,211.06,246.42
1517.24,0,0,24.77,0,0,0,0,0,0,246.57,228.25,219.78
1518.79,0,0,24.33,0,19.63,0,0,0,0,275.99,261.06,239.09
1520.34,0,3.61,44.06,0,19.63,0,0,0,0,284.81,291.28,228.8
1521.88,0,3.61,48.21,0,19.63,9.3,0,0,0,245.47,338.67,286.68
1523.42,0,3.61,68.32,0,0,9.3,0,0,0,210.76,313.68,302.51
1524.97,0,0,53.83,0,0,9.3,0,0,0,197.11,283.08,331.74
1526.51,0,0,43.63,0,0,0,0,0,0,207.76,244.11,287.91
1528.05,0,0,33.06,0,0,0,0,0,0,210.35,265.42,317.03
1529.59,0,0,49.88,0,0,0,0,0,0,228.01,300.45,293.21
1531.13,0,4.69,45.22,0,0,0,0,0,0,241.85,299.66,298.23
1532.67,0,4.69,33.86,0,0,0,0,0,0,253.42,324.93,304.97
1534.2,0,4.69,19.88,0,0,0,0,0,0,260.27,316.15,293.99
1535.74,0,5.69,17.52,0,0,0,0,0,0,262.41,335.99,298.63
1537.28,0,5.69,24.1,0,0,0,0,0,0,232.38,272.66,279.76
1538.81,0,31.74,35.87,0,0,0,0,0,0,224.64,266.94,292.17
1540.34,0,57.63,55.7,0,0,0,0,0,0,185.62,246.62,287.3
1541.88,2.49,61.34,58.37,0,0,0,0,0,0,173.78,259.46,286.6
1543.41,19.35,65.16,96.77,0,0,0,0,0,0,184.99,225.03,314.28
1544.94,37.95,105.94,118.79,0,0,0,0,0,0,202.82,248.54,339.58
1546.47,55.27,178.9,208.31,0,0,0,0,0,0,292.82,258.88,378.03
1547.99,113.45,241.71,247.33,0,0,0,0,0,0,313.65,300.72,394.98
1549.52,189.71,281.25,298.74,0,0,37.36,0,0,0,351.53,321.95,436.65
1551.05,252.06,276.2,315.54,0,0,37.36,0,0,0,329.81,356.56,414.7
1552.57,237.37,283.11,312.63,0,0,37.36,0,0,0,316.03,379.12,413.69
1554.1,208.77,294.75,311.77,0,6.93,0,0,0,0,345.3,367.39,384.4
1555.62,181.69,357.24,339.4,0,6.93,0,0,0,0,348.4,371.16,379.6
1557.14,242.69,362.12,381.43,0,9.51,0,0,0,0,370.89,371.64,368.85
1558.66,262.1,338.07,399.51,0,2.57,0,0,0,0,352.76,384.84,357.14
1560.18,308.03,297.86,374.42,0,2.57,0,0,0,0,315.8,343.87,337.92
1561.7,276.04,326.38,322.05,0,0,0,0,0,0,276.88,310.94,333.09
1563.22,303.23,323.08,330.51,0,0,0,0,0,0,248.12,295.51,344.4
1564.74,280.16,345.17,310.02,0,0,0,0,0,0,242.08,310.45,368.43
1566.25,237.61,302.43,320.7,0,0,0,0,0,0,236.87,309.89,332.61
1567.77,191.24,303.53,292.86,0,0,0,0,0,0,240.14,246.81,319.62
1569.28,204.39,271.8,273.85,0,0,0,0,0,0,257.24,177.56,269.77
1570.79,202.28,230.13,265.23,0,0,0,0,0,0,213.72,138.68,257.64
1572.31,192.89,239.51,248.31,0,0,0,0,0,0,186.91,181.51,256.21
1573.82,167.14,233.84,245.34,0,0,0,0,0,0,165.7,201.27,277.7
1575.33,168.45,260.23,242.74,0,0,0,0,0,0,178.86,186.07,297.24
1576.84,175.49,264.34,277.18,0,0,0,0,0,0,148.4,161.24,271.48
1578.34,117.93,255.83,272.67,0,0,0,0,0,0,116.31,143.12,234.43
1579.85,88.99,250.27,272.43,0,0,0,0,0,0,73.82,116.59,190.3
1581.36,56.22,199.2,253.34,0,0,0,0,0,0,47.81,74.88,139.98
1582.86,95.07,171.4,248.51,0,0,0,0,0,0,15.21,48.76,106.59
1584.37,100.65,134.66,213.06,0,0,0,0,0,0,7.16,45.34,52.89
1585.87,91.85,140.85,198.87,0,0,0,0,0,0,4.71,80.52,52.79
1587.37,86.43,150.09,201.71,0,0,0,0,0,0,4.71,96.39,76.39
1588.87,81.29,154.61,234.16,0,0,0,0,0,0,3.49,103.52,89.9
1590.37,109.55,137.83,206.3,0,0,0,0,0,0,0,50.68,99.11
1591.87,91.52,135.77,193.15,0,0,0,0,0,0,0,42.53,68.35
1593.37,96.22,117.08,165.71,0,0,0,0,0,0,0,21.87,52.65
1594.86,99.75,71.88,157.07,0,0,0,0,0,0,0,15.14,14.98
1596.36,109.44,71.17,140.92,0,0,0,0,0,0,0,0,4.53
1597.86,110.73,111.05,136.35,0,0,0,0,0,0,0,0,10.63
1599.35,95.97,151.53,138.7,0,0,0,0,0,0,0,0,11.42
1600.84,101.36,143.83,162.53,0,0,0,0,0,0,0,1.44,29.27
1602.33,77.86,134.06,190.62,0,0,0,0,0,0,0,1.44,26.03
1603.83,49.91,113.32,195.07,0,0,0,0,0,0,0,1.44,25.24
1605.32,19.55,126.51,166.77,0,0,0,0,0,0,0,0,2.86
1606.8,19.55,79.29,133.38,0,0,0,0,0,0,0,0,0
1608.29,7.91,55.61,98.03,0,0,0,0,0,0,0,0,0
1609.78,0,14.34,66.59,0,0,0,0,0,0,0,0,0
1611.27,0,12.98,23.69,0,0,0,0,0,0,0,0,0
1612.75,0,12.98,3.94,0,0,0,0,0,0,0,0,0
1614.23,0,0,0,0,0,0,0,0,0,0,0,0
1615.72,0,0,0,0,0,0,0,0,0,0,0,0
1617.2,0,0,0,0,0,0,0,0,0,0,0,0
1618.68,0,0,0,0,0,0,0,0,0,0,0,0
1620.16,0,0,0,0,0,0,0,0,0,0,0,0
1621.64,0,0,0,0,0,0,0,0,0,0,0,0
1623.12,0,0,0,0,0,0,0,0,0,0,0,0
1624.59,0,0,0,0,0,0,0,0,0,0,0,0
1626.07,0,0,0,0,0,0,0,0,0,0,0,0
1627.54,0,0,0,0,0,0,0,0,0,0,0,0
1629.02,0,0,0,0,0,0,0,0,0,0,0,0
1630.49,0,0,0,0,0,0,0,0,0,0,0,0
1631.96,0,0,0,0,0,0,0,0,0,0,0,0
1633.43,0,0,0,0,0,0,0,0,0,0,0,0
1634.9,0,0,0,0,0,0,0,0,0,0,0,0
1636.37,0,0,0,0,0,0,0,0,0,0,0,0
1637.84,0,0,0,0,0,0,0,0,0,0,0,0
1639.31,0,0,0,0,0,0,0,0,0,0,0,0
1640.77,0,0,0,0,0,0,0,0,0,0,0,0
1642.24,0,0,0,0,0,0,0,0,0,0,0,0
1643.7,0,0,0,0,0,0,0,0,0,0,0,0
