wavenumber,PLA 5ppm-1,PLA 5ppm-2,PLA 5ppm-3,PLA 10ppm-1,PLA 10ppm-2,PLA 10ppm-3,PLA 50ppm-1,PLA 50ppm-2,PLA 50ppm-3,PLA100ppm-3,PLA100ppm-2,PLA100ppm-1,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3,PLA 300ppm-1,PLA 300ppm-2,PLA 300ppm-3,PLA 400ppm-1,PLA 400ppm-2,PLA 400ppm-3,PLA 500ppm-1,PLA 500ppm-2,PLA 500ppm-3,PLA600ppm-3,PLA600ppm-2,PLA600ppm-1
1578.34,104.07,108.55,106.94,323.22,305.24,302.73,415.23,451.67,428.37,158.01,165.83,137.47,341.85,325.55,376.9,253.77,260.3,253.86,52.1,68.85,50.23,8.82,0,0,106.86,145.58,141.64
1579.85,105.06,104.56,115.59,314.39,312.66,287.52,407.74,427.71,434.72,168.54,172.64,155.57,323.9,303.89,368.97,249.17,249.36,232.87,44.82,60.55,17.77,8.82,0,10.1,121.71,145.01,163.92
1581.36,82.93,97.78,101.14,317.78,307.31,275.87,412.83,395.99,401.32,135.64,152.67,141.9,315.85,294.47,353.62,234.14,234.32,214.11,21.11,46.81,5.29,0,0,10.1,119.47,161.68,145.11
1582.86,95.46,114.66,74.68,313.19,306.3,293.89,443.6,361.96,416.94,142.75,151.38,142.91,331.16,303.73,339.95,219.79,238.97,210.04,18.06,40.07,20.68,19.18,17.15,11.87,114.23,176.69,111.97
1584.37,72.77,116.99,76.99,299.71,297.75,280.04,428.51,353.39,395.35,115.63,130.53,117.03,319.92,293.46,310.74,188.57,221.75,221.77,8.03,38.11,41.39,19.18,17.15,1.77,115.12,145.83,50.29
1585.87,69.08,114.32,76.97,303.91,309.2,278.86,399.78,372.51,404.46,135.52,137.69,110.15,303.37,289.53,292.88,171.7,205.87,208.17,26.43,41.16,53.36,19.18,17.98,1.77,109.68,123.98,78.96
1587.37,77.17,108.42,101.39,303.23,303.44,274.46,361.51,386.1,413.7,144.53,151.3,115.06,285.95,300.06,294.48,199.29,198.12,211.7,47.95,58.66,56.77,10.67,20.45,18.06,118.7,107.58,107.75
1588.87,87.14,108.41,72.37,313.45,304.58,284.63,356.82,391.27,421.51,144.1,149.47,116.86,283.09,314.17,285.65,229.12,209.95,209.81,65.46,61.71,42.08,10.67,52.18,31.52,142.29,138.76,176.77
1590.37,95.33,101.62,93.23,281.56,295.27,271.69,339.03,355.67,379.57,126.56,154.54,133.55,266.14,306.17,278.73,232.85,202.67,216.15,54.1,57.99,25.62,28.05,51.35,31.93,121.11,142.83,203.69
1591.87,95.07,92.72,87.97,265.57,282.87,270.65,338.16,348.32,362.2,128.58,145.16,117.47,268.76,299.75,242.38,209.48,200.64,224.06,43.29,66.16,24.71,21.23,44.5,29.92,108.16,176.81,233.51
1593.37,77.15,100.48,123.38,242.92,273.13,264.62,342.63,315.65,336.19,136.94,138.45,131.06,261.4,270.68,226.37,183.46,188.95,230.99,33.82,54,22.81,21.23,39,16.46,96.55,160.13,229.35
1594.86,80.66,86.01,98.9,261.72,251.52,273.37,329.91,294.11,315.97,122.42,122.53,132.44,255.16,251.4,208.49,148.56,179.05,230.04,32.8,49.29,37.02,3.85,46.69,30.57,117.4,164.57,197.97
1596.36,76.51,81.54,87.07,280.52,237.24,257.79,289.53,216.93,289.43,101.23,124.28,131.48,219.6,218.13,202.96,140.01,156.5,195.1,27.78,32.91,28.23,3.5,33.92,18.01,159.59,133.35,172.93
1597.86,93.47,79.18,97.36,291.45,231.41,277.33,259.96,199.87,276.03,101.16,132.81,118.3,241.5,205.98,201.88,170.26,166.41,197.63,54.21,45.32,56.89,16.36,10.99,32.03,141.9,143.26,121.02
1599.35,83.09,75.15,93.31,260.04,218.93,259.54,237.4,182.17,272.31,118.09,133.34,89.8,226.08,208.52,201.82,182.18,178.34,176.83,53.3,55.73,59.56,16.36,19.06,17.5,146.56,135.17,112.78
1600.84,86.59,71.01,86.81,232.2,229,241.98,235.08,238.04,244.5,116.25,114.76,89.19,223.56,199.62,176.66,179,153.83,194.94,52.62,47.36,77.78,12.86,34.08,26.64,131.11,128.32,71.77
1602.33,101.65,58.09,76.53,215.92,235.31,211.99,271,244.81,241.25,129.63,107.75,97.47,176.94,190.63,173.07,160.73,130.55,162.61,32.83,56.88,65.56,7.42,30.78,15.67,129.55,105.37,105.33
