wavenumber,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
551.15,0.59,0,0,17.35,21.79,58.48,0,0,0,0,0,0
553.23,0,0,0,17.35,35.97,32.7,0,0,0,0,0,0
555.32,0,0,0,24.98,26.89,17.64,0,0,0,0,0,0
557.4,0,0,0,10.51,20.93,11.87,0,0,0,0,0,0
559.48,0,0,0,10.51,4.29,13.5,0,0,0,0,0,0
561.56,0,0,0,0,0,13.5,0,0,0,0,0,0
563.64,0,0,0,15.96,0,4.38,0,0,0,0,0,0
565.72,0,0,0,16.63,0,4.23,0,0,0,0,0,0
567.8,0,0,0,16.63,0,4.23,0,0,0,0,0,0
569.87,0,0,0,1.62,0,4.21,0,0,0,0,0,0
571.95,0,0,0,0.94,0,2.74,0,0,0,0,0,0
574.02,0,0,0,0.94,0,7.04,0,0,0,0,0,0
576.09,0,0,0,0,1.11,4.3,0,0,0,0,0,0
578.17,0,0,2.65,0,1.11,4.3,0,0,0,0,0,0
580.24,0,0,2.65,0,1.11,0,0,0,0,0,0,0
582.31,0,0,3.1,0,0,0,0,0,0,0,0,0
584.38,0,0,0.45,0,0,0,0,0,0,0,0,0
586.45,0,0,0.45,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,3.21,0,0
590.58,0,0,5.11,11.27,0,1.81,0,0,0,31.62,21.45,38.74
592.64,3.76,4.28,5.11,11.27,10.17,1.81,0,0,0,111.11,53.37,81.57
594.71,9.59,24.67,5.11,38.5,28.63,19.95,8.64,0,29.35,195.78,120.07,126.47
596.77,28.15,49.15,5.38,41.08,48.72,50.24,17.9,11.93,29.35,265.61,181.11,179.7
598.83,24.4,51.43,14.18,74.55,71.93,77.98,32.13,21.54,34.38,273.73,222.43,206.88
600.89,18.57,35.82,14.18,53.51,68.54,60.66,23.49,21.54,19.2,270.58,253.81,232.8
602.95,7.31,33.3,22.96,57.88,64.23,59.08,18.97,15.48,23.14,267.82,253.6,208.44
605.01,7.31,26.73,14.17,38.43,34.45,31.34,4.74,5.87,18.1,209.23,220.57,175.27
607.07,24.82,36.85,33.58,44.4,26.41,60.03,4.74,5.87,19.68,146.71,175.93,131.83
609.13,20.63,16.41,20.77,26.18,14.45,37.81,0,8.9,26.69,75.25,126.36,86.12
611.18,20.63,19.43,21.96,14.41,15.69,71.47,0,8.9,26.69,67.63,126.31,84.93
613.24,7.08,13.29,2.55,11.4,12.67,54.52,0,8.9,10.96,71.42,109.99,96.13
615.29,3.97,11.77,1.19,20.39,14.06,52.32,0,0,7.06,47.6,87.74,82.41
617.35,3.97,11.27,0,18.31,19.65,18.66,0,0,7.06,26.19,47.59,66.53
619.4,0,2.52,0,9.18,23.55,6.11,0,0,13.45,0.21,10.45,30.28
621.45,1.06,11.13,5.4,2.04,26.41,18.04,0,0,6.39,0,0,31
623.5,1.06,8.61,5.4,1.85,16.01,18.04,0,0,6.39,0,0.34,11.78
625.55,1.06,8.61,5.4,1.85,11.04,18.04,0,10.88,16.58,0,0.34,11.96
627.6,0,0,0,0,2.95,0,0,10.88,29.49,0,8.26,11.11
629.64,0,0,7.28,0,2.95,0,22.51,18.29,47.6,6.86,7.92,11.67
631.69,0,3.1,7.28,7.87,0,0,22.51,49.69,66.34,31.4,28.05,15.3
633.73,5.43,3.55,14.8,25.53,0,1.02,80.45,84.95,79.07,53.03,40.12,10.55
635.78,5.43,3.55,7.52,25.53,0,1.02,80.76,88.23,67.02,50.01,62.4,13.66
637.82,16.95,4.37,32.5,42.28,14.23,26.75,160.71,93.61,104.08,73.06,82.06,43.18
639.86,14.58,3.92,27.51,32.89,19.78,40.13,129.07,81.88,153.03,80.3,94.24,62.89
641.9,23.84,13.3,43.93,63.45,32.63,73.2,163.23,131.92,213.41,126.27,106.49,105.34
643.94,30.79,28.97,35.59,60.68,47.88,59.2,131.3,167.51,211.02,124.76,101.27,120.31
645.98,27.73,45.24,43.68,69,71.89,53.95,167.5,217.88,218.73,115.33,82.45,130.35
648.02,18.46,35.86,39.87,38.44,59.04,23.13,150.16,250.35,216.88,76.63,66.72,89.48
650.06,10.6,20.73,36.05,26.15,29.55,14.96,135.18,206.81,203.7,54.24,38.28,55.9
652.09,10.6,13.26,27.22,9.57,0,5.8,105.22,151.94,161.18,52.14,43.81,34.96
654.13,13.8,13.26,24.05,9.57,0,16.92,86.95,126.4,158.66,42.68,39.64,43.32
656.16,13.02,26.54,30.98,15.66,23.35,22.8,98.81,142.63,160.91,33.29,38.22,51.77
658.2,13.02,17.75,34.34,15.66,23.35,30.4,83.46,180.97,166.27,27.98,43.55,52.95
660.23,9.82,17.75,31.92,15.66,23.35,17.03,69.03,142.86,174.85,26.32,30.73,50
662.26,0,11.89,12.17,0,1.31,20.74,77.5,148.97,182.32,12.03,26.03,54.57
664.29,0,11.89,14.4,9.47,1.31,13.14,106.44,135.19,195.23,11.85,22.15,64.56
666.32,12.13,14.05,17.84,9.47,18.96,32.68,140.95,180.96,203.36,33.05,32.47,53.37
668.34,21.42,21.84,20.47,22.58,17.65,25.67,136.81,174.39,191.82,33.05,54.17,28.85
670.37,21.42,21.84,13.09,13.11,21.74,25.67,119.02,169.15,196.95,21.21,33.84,5.56
672.4,10.68,19.68,2.63,13.11,4.09,6.13,99.81,150.47,171.63,0,21.7,5.56
674.42,1.6,0,2.59,0,10.36,7.95,92.95,186.79,163.65,6.45,0,0
676.45,4.3,0,11.35,0,6.28,9.14,87.11,204.1,150.33,13.66,0,0
678.47,14.76,18.66,20.61,0.5,30.94,14.21,98.51,200.3,165.56,35.94,5.18,0
680.49,14.55,18.66,18.01,0.5,24.67,6.25,56.14,148.72,166.02,29.5,5.18,0
682.51,11.85,18.66,9.26,0.5,24.67,5.07,53.46,144.81,144.48,22.29,5.18,0
684.53,12.62,14.16,8.73,7.67,16.88,21.38,58.58,161.34,110.71,28.15,12.37,11.21
686.55,25.49,19.92,8.73,17.94,35.05,25.07,94.61,177.76,115.5,53.46,24.68,22.31
688.57,25.49,19.92,8.73,17.94,35.05,25.07,99.32,178.84,112.95,53.46,24.68,22.31
690.58,19.36,11.5,0,17.51,29.33,14.45,102.94,163.81,108.96,25.31,12.31,17.74
692.6,6.48,5.85,0,7.24,11.17,12.93,66.9,157.56,99.09,1.96,0,6.64
