wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
1930.26,251.53,294.99,276.14,254.11,236.96,238.57,141.95,132.54,161.92,198.96,186.28,202.46
1931.51,255.04,313.17,294.8,293.31,254.75,249.09,168.59,151.8,204.27,188.66,219.02,212.54
1932.76,252.14,289.59,270.37,246.41,248.46,226.86,158.9,162.4,173.3,181,216.73,212.58
1934.01,286.03,329.13,264.73,268.96,257.32,211.77,164.1,172.89,174.22,198.85,227.96,223.82
1935.26,274.17,294.23,257.01,247.42,248.76,203.6,150.63,145.71,117.15,192.67,203.16,203.68
1936.51,276.55,306.57,273.52,279.77,270.78,227.34,161.5,144.53,132.74,198.12,193.66,200.51
1937.76,274.5,287.8,281.94,248.02,230.05,255.66,160.36,131.02,117.34,191.52,179.78,184.31
1939,262.92,279.15,270.16,219.06,204.8,244.78,141.77,124.39,137.84,200.78,165.76,167.95
1940.25,265.25,273.39,267.61,217.99,182.12,223.81,143.85,128.1,119.34,178.66,166.04,148.23
1941.49,244.15,254.53,259.3,213.82,226.36,223.75,139.26,137.81,149.51,157.16,181.27,144.47
1942.74,249.29,246.9,248.56,228.2,229.51,222.27,153.67,173.85,155.34,145.29,177.47,152
1943.98,264.22,249.71,256.94,230.37,225.8,227.92,168.62,177.45,194.74,179.94,198.19,189.06
1945.22,280.83,246.52,267.33,239.54,187.11,215.25,187.69,181.82,189.58,198.65,204.31,193.85
1946.46,279.79,250,277.74,218.71,188.1,217.94,178.19,168.63,201.2,222.76,223.5,197.71
1947.7,258.09,236.82,262.82,192.55,202.78,187.3,165.8,169.21,178.6,209.94,222.43,181.31
1948.94,233.18,230.41,250.68,170.5,212.59,174.47,166.63,183.02,173.89,207.63,204.87,192.75
1950.18,220.07,226.77,243.67,178.89,219.87,188.42,179.01,179.37,153.07,199.16,183.83,184.38
1951.41,208.85,236.36,237.55,180.5,170.05,217.28,160.71,161.39,144.25,184.98,145.74,186.96
1952.65,202.3,226.94,243.77,190.78,162.91,228.15,109.52,125.52,135.54,163.2,133.06,161.62
1953.88,195.32,219.74,210.55,161.6,138.01,181.92,90.99,102.31,102.5,136.37,112.33,149.89
1955.12,185.23,198.08,187.89,140.64,124.68,144.92,69.45,82.42,85.46,106.16,110.22,110.79
1956.35,188.15,195.42,154.24,136.35,120.7,122.27,76.01,72.64,71.19,101.68,105.85,114.09
1957.58,175.85,193.53,162.36,130.48,120.18,105.74,47.12,51.41,62.15,79.37,105.32,90.56
1958.81,164.89,175.63,156.82,129.95,129,75.55,32.44,30.62,35.87,56.12,79.52,67.44
1960.04,147.38,170.16,143.05,113.84,101.94,86.81,11.39,8.58,5.15,16.65,61.23,33.82
1961.27,131.64,155.46,131.06,107.51,79.34,97.52,0,3.77,1.47,1.11,29.89,20.04
1962.5,127.46,148.97,141.63,102.05,62.96,121.8,0,0.06,0,13.48,26.06,21.22
1963.72,127.51,139.35,153.08,83.13,47.15,106.3,14.1,12.15,16.84,34.87,21.52,25.68
1964.95,116.88,101.06,163.86,65.87,46.02,77.47,14.1,13.65,17.95,41.22,21.52,24.92
1966.17,104.48,95.63,147.86,54.82,35.45,56.2,19.67,13.59,17.95,27.74,13.4,19.6
1967.4,101.52,76.97,136.29,61.19,58.66,57.04,13.59,1.51,1.11,6.35,0,0
1968.62,101.78,86.85,106.28,52.77,50.76,74.77,13.59,0,0,0,0,0
1969.84,82.25,74.26,89.48,31.68,65.09,80.39,8.02,0,0,0,0,0
1971.06,57.61,61.21,77.56,13.33,37.31,46.57,0,0,0,0,0,0
1972.28,69.29,63.14,74.3,41.63,56.21,51.74,0,0,7.83,0,3.54,0
1973.5,78.41,80.49,70.81,52.56,62.21,53.02,0,0,14.99,0,3.54,0
1974.72,101.19,98.82,88.63,73.93,65.54,95.64,0,9.88,14.99,0,3.54,0
1975.94,96.29,88.12,77.45,43.94,55.21,69.71,0,9.88,15.32,0,0,0
1977.15,79.72,62.07,62.25,33.93,33.21,55.65,0,9.88,8.16,0,0,0
1978.37,48.35,33.55,30.6,3.78,34.1,7.54,0,0,8.16,0,0,0
1979.58,27.09,19.72,17.49,3.78,19.56,7.54,0,0,0,0,0,0
1980.79,20.76,0.77,17.91,2.86,12.43,0,0,0,0,0,0,0
1982,11.67,0,7.28,0,7.97,0,0,0,0,0,0,0
1983.22,10.81,0,7.28,0,7.97,0,0,0,0,0,0,0
1984.43,10.81,0,0,0,7.97,0,0,0,0,0,0,0
