wavenumber,PS_PE 50ppm-1,PS_PE 50ppm-2,PS_PE 50ppm-3,PS_PE 100ppm-1,PS_PE 100ppm-2,PS_PE 100ppm-2,PS_PE 200ppm-1,PS_PE 200ppm-2,PS_PE 200ppm-3
692.6,0,0,0,12.96,12.78,49.38,20.04,27.28,24.13
694.61,0,0,0,0,12.78,47.03,20.04,12.92,7.51
696.63,0,0,0,0,0,0,0,0,0
698.64,0,0,0,26.9,62.92,33.25,43.72,21.26,47.49
700.65,0,0,0,116.2,129.64,85.16,152.61,153.35,162.79
702.66,0,0,0,147.23,185.83,139.05,221.31,248.93,213.91
704.67,0,0,0,120.33,165.34,120.46,177.59,239.16,166.42
706.68,0,0,0,31.03,98.62,68.55,68.71,107.07,51.12
708.69,0,0,0,0,42.43,14.65,0,11.49,11.37
710.69,0,0,0,0,0,0,0,0,11.37
712.7,0,0,0,0,0,0,0,0,11.37
714.7,0,0,0,0,0,0,0,0,0
716.71,0,0,0,0,0,0,0,0,0
718.71,0,0,0,0,0,0,0,0,0
720.71,0,0,0,0,0,0,0,0,0
722.71,0,0,0,0,0,21.86,62.72,52.89,56.32
724.71,3.2,0,0,25,52.54,31.08,174.16,150.84,131.02
726.71,3.2,0,0,25,84.84,88.56,235.55,202.39,192.31
728.71,3.2,0,0,25,84.84,66.71,172.83,149.5,135.99
730.7,0,0,0,0,32.3,57.48,61.39,51.55,61.29
732.7,0,0,0,0,0,0,0,0,0
734.69,0,0,0,0,0,0,0,0,0
736.69,0,0,0,0,0,0,0,0,0
738.68,0,0,0,0,0,0,0,0,0
740.67,0,0,0,0,0,0,0,0,0
742.66,0,0,0,0,0,0,0,0,0
744.65,0,0,0,0,0,0,0,0,0
746.64,0,0,0,0,0,0,0,0,0
748.63,0,0,0,0,0,0,24.77,26.55,61.1
750.61,0,0,0,0,0,0,126.89,78.45,155.21
752.6,0,0,0,0,0,0,234.26,208.93,286.2
754.58,0,0,0,0,0,0,306.79,282.44,329.65
756.57,0,5.2,0,0,0,27.27,302.76,320.06,328.2
758.55,0,5.2,0,0,6.55,32.1,281.4,243.02,270.1
760.53,0,5.2,0,68.09,21.3,66.64,289.83,242.43,285.78
762.51,0,0,0,68.09,21.3,39.37,276.48,226.4,279.68
764.49,0,0,0,69.64,15.42,41.01,282.37,278.94,272.81
766.47,0,0,0,47.88,25.52,6.47,247.15,232.7,204.83
768.45,0,0,0,110.24,25.8,35.88,218.38,210.59,160.98
770.42,0,0,0,153.76,63.52,51.45,180.3,143.48,158.14
772.4,0,0,0,139.05,114.01,115.26,180.23,187.39,208.3
774.37,24.33,14.01,32,153.1,167.92,211.68,203.5,247.32,299.81
776.34,24.33,14.01,35.73,196.58,209.26,267.54,219.12,252.92,311.67
778.32,24.33,14.15,49.74,272.26,247.48,293.61,193.54,233.65,274.65
780.29,47.96,40.18,56.58,300.83,276.25,294.22,224.75,245.51,262.42
782.26,100.99,74.86,100.26,323.06,299.02,354.5,302.53,330.61,331.1
784.23,139.21,116.17,144.03,326.16,310.34,379.32,396.78,366.83,418.91
786.2,127.43,138.44,197.43,353.71,370.1,357.59,424.05,375.08,415.74
788.16,204.29,182.02,285.13,414.04,450.97,415.31,461.34,436.68,478.58
790.13,266.45,226.24,341.81,528.81,536.95,451.48,515.98,574.64,529.44
792.09,353.93,290.44,354.12,597.37,571.72,541.43,583.98,652.96,602.66
794.06,307.5,324.73,326.18,599.48,558.06,498.27,536.45,606.41,540.68
796.02,334.38,333.66,313.21,502.71,514.84,466.24,496.28,471.21,466.39
797.98,289.12,270.12,292.45,473.29,511.31,428.22,377.7,362.6,364.02
799.94,324.52,296.9,313.65,519.99,539.57,410.33,364.13,364.35,339
801.9,325.23,316.32,375.83,590.15,557.29,452.57,362.6,409.8,346.01
803.86,407.59,422.73,477,641.1,660.81,479.27,479.43,529.27,458.04
805.82,430.93,439.12,515.8,631.51,678.12,588.43,520.29,572.77,511.77
807.78,478.71,479.94,530.03,680.84,711.02,598.51,512.29,550.75,512.64
809.73,483.69,468.3,525.46,682.18,592.6,575.95,379.55,410.65,413.76
811.69,461.21,439.53,547.1,664.22,549.88,486.09,293.39,290.14,317.14
813.64,445.95,438.3,559.27,631.94,494.52,529.92,225.49,232.55,268.1
815.6,436.45,406.84,576.88,627.26,491.42,530,267.07,268.77,294.21
817.55,494.6,475.71,646.8,652.04,539.79,549.56,349.35,375.37,357.35
819.5,519.86,544.67,728.15,668.08,586.75,551.72,463.78,484.44,434.63
821.45,546,628.84,778.04,707.15,655.42,633.91,513.81,546.77,485.51
823.4,543.91,616.46,760.36,689.15,641.35,670.37,450.65,489.58,470.2
825.35,534.59,590.51,755.78,651.41,625.54,626.09,383.97,391.21,430.04
827.29,520.37,574.66,777.98,646.59,630,610.07,386.77,348.66,368.36
