wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
546.98,63.57,4.6,39.48,43.71,79.59,79.11,113.95,98.75,60.9,153.14,118.6,156.31
549.06,90.03,30.95,74.93,81.36,112.04,110.66,136.95,150.81,122.74,246.75,196.01,286.16
551.15,94.67,77.12,67.31,108.51,125.57,106.2,181.82,188.4,161.38,270.83,336.58,329.55
553.23,69.65,112.83,56.34,119.09,107.19,97.83,143.45,177.74,166.12,280.45,336.99,322.38
555.32,48.29,99.63,46.69,117.08,98.89,99.54,121.5,151.85,150.28,238.58,317.54,245.96
557.4,20.58,56.75,62.03,90.17,87.02,85.35,90.98,118.72,124.86,186.23,207.92,215.64
559.48,5.1,21.04,46.3,61.79,66.02,65.68,76.32,86.45,75.03,77.57,108.55,149.84
561.56,0,7.89,20.5,42.17,50.1,32.42,43.76,59.28,48.91,46.68,91.66,151.47
563.64,9.52,0,0,60.41,31.72,36.71,46.74,60.98,31.99,86.08,118.02,102.95
565.72,27.79,0,9.19,66.64,45.64,50.98,55.69,76.32,68.67,109.46,181.07,103.73
567.8,27.79,0,9.19,50.61,37.4,50.98,54.33,63.88,48.8,88.61,139.99,48.67
569.87,18.27,0,9.19,22.91,25.96,29.66,33.03,43.97,61.6,61.6,75.89,35.57
571.95,0,0,0,5.51,0,5.57,9.93,9.75,24.91,38.21,0,0
574.02,0,0,0,5.51,4.77,5.57,9.93,10.23,40.59,38.21,0,0
576.09,0,0,0,0,4.77,0,0,0.48,15.67,0,0,0
578.17,0,0,0,0,4.77,0,0,0.48,15.67,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0,0,0,0
594.71,0,1.12,2.36,9.33,0,15.86,0,0,9.09,0,0,0
596.77,24.9,1.12,2.36,33.3,15,31.04,14.7,31.12,37.87,14.5,0,9.95
598.83,32.32,6.13,13.27,35.79,37.85,42.75,28.29,44.8,60.56,16.46,37.65,38.23
