wavenumber,PMMA1ppm-1,PMMA1ppm-2,PMMA1ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
477.57,4.66,0,12.28,32.85,7.91,9.59,0,0,0,1.52,0,4.36,0,1.37,12,34.77,0,0
479.69,15.5,8.09,23.9,56,14.41,22.63,0,0,0,9.32,10.26,7.03,0,0,12,34.77,0,0
481.8,10.84,8.09,28.4,56,11.35,13.04,0,0,0,9.32,10.26,2.68,0,0,12,16.31,0,0
483.92,10.84,8.09,16.13,23.15,6.5,13.04,0,0,0,7.81,10.26,2.68,0,0,0,0,0,0
486.04,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490.27,2.99,19.33,6.42,0,5.19,18.08,0,0,0,0,0,0,0,0,0,0,0,0
492.38,3.07,19.33,6.42,0,13.45,19.24,0,0,0,0,0,0,0,0,0,0,0,0
494.49,3.07,19.33,6.42,0,13.45,19.24,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0.08,0,0,0,8.26,1.16,0,0,0,0,0,0,0,0,0,0,0,0
498.72,5.64,22.79,15.37,0,3.78,23.03,0,0,0,7.48,0,0,0,0,0,0,0,0
500.83,34.38,58.63,49.84,31.99,37.98,64.16,6.94,19.48,0,26.77,30.38,31.63,11.49,0.68,23.16,15.15,19.58,0
502.93,39.64,58.63,63.49,44.48,49.04,66.48,6.94,19.48,0,31.18,30.38,34.37,11.49,0.68,23.16,15.15,19.58,0
505.04,34,35.84,48.12,44.48,45.26,43.45,6.94,19.48,0,23.7,30.38,34.37,11.49,0.68,23.16,15.15,19.58,0
507.15,5.26,0,13.65,12.49,11.06,2.32,0,0,0,4.41,0,2.74,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
515.56,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,3.93,1.84,13.01,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
519.77,0,3.93,9.13,13.01,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0
521.86,0,3.93,9.13,13.01,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0
523.96,0,0,7.29,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.16,5.68,5.91,0,0,0,19.61,0,0,0,0,0,0,0,0,0,0,0,0
530.25,5.68,5.91,0,0,0,19.61,0,0,0,0,0,0,0,0,0,0,0,0
532.35,5.68,5.91,0,0,0,19.61,0,0,0,0,0,0,0,0,0,0,0,0
534.44,0,0,0,4.84,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0
536.53,0,0,0,4.84,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0
538.62,0,0,0,4.84,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.8,8.3,23.6,7.87,19.35,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0
544.89,51.6,55.5,41.72,52.07,35.88,49.87,0.09,5.62,5.02,23.08,30.76,40.65,31.54,21.75,12.61,29.37,34.44,38.07
546.98,72.33,78.45,56.66,83.91,84.13,78.54,52.43,54.44,53.26,77.17,106.21,89.69,110.44,105.17,81.53,106.93,121.18,142.45
549.06,99.16,65.84,83.46,97.18,98.41,97.67,97.76,93.9,111.14,141.39,157.44,158.87,209.44,179.36,183.17,223.1,226.29,268.9
