wavenumber,PE 5ppm-1,PE 5ppm-2,PE 5ppm-3,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
519.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82,0
534.44,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,20.05,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,0,0,0,15.83,0,0
544.89,0,0,0,0.36,0,0,0,0,0,0,0,0,69.71,44.63,62.01
546.98,0,0,0,17.33,0,0,5.46,0,0,0,4.76,0,139.39,110.05,144.8
549.06,0,0,0,17.33,0,0,5.46,0,0,24.73,4.76,0,204.13,159.68,225.79
551.15,0,0,0,16.97,3.86,0,5.46,0,0,24.73,4.76,0,227.78,149.31,220.39
553.23,0,0,0,0,3.86,0,0,0,0,24.73,0,0,215.9,128.74,183.47
555.32,0,0,0,0,3.86,0,0,0,0,0,0,0,155.94,98.09,102.48
557.4,0,0,0,0,0,0,0,0,0,0,0,0,80.68,64.47,45.87
559.48,0,0,0,0,0,0,0,0,0,0,0,0,26.77,19.61,0
561.56,0,0,0,0,0,0,0,0,0,0,0,0,12.12,0.63,0
563.64,0,0,0,0,0,0,0,0,0,0,0,0,17.27,0,0
565.72,0,0,0,0,0,0,0,4.4,0,0,0,0,34.79,0.77,0
567.8,0,0,0,0,0,0,0,4.4,0,0,0,0,28.84,0.77,0
569.87,0,0,0,0,0,0,0,4.4,0,0,0,0,21.42,0.77,0
571.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
574.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
576.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
578.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
