wavenumber,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
662.26,14.47,12.82,8.39,1.15,0,16.86,2.5,10.36,29.92,0,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0
664.29,14.47,12.82,11.92,1.15,0,19.86,2.5,19.06,29.92,0,0,0,0,0,0,0,0,1.51,20.58,4.1,0,6.14,9.09,5.65,0,0,0,0,0,0
666.32,26.92,12.82,26.04,0,18.08,19.86,22.03,36.2,52.8,2.2,15.87,3.99,5.27,2.07,1.71,13.14,3.8,30.24,45.04,24.35,26.4,31.12,37.38,26.82,0,12.5,0,0,0,0
668.34,17.01,15.34,25.91,26.38,33.27,3,33.67,44.29,52.16,8.29,17.65,12.89,5.27,2.07,1.71,13.14,4.22,30.24,64.04,36.42,48.72,41.91,43.86,37.5,0,12.5,0,0,0,0
670.37,17.01,15.34,22.37,26.38,33.27,0,33.67,35.59,52.16,8.29,17.65,12.89,5.27,2.07,1.71,13.14,4.22,28.73,43.46,32.7,48.72,35.77,34.77,31.86,0,12.5,0,0,0,0
672.4,4.55,15.34,8.25,26.38,15.2,0,14.14,18.45,29.28,6.08,1.78,8.91,0,0,0,0,0.43,0,19,12.45,22.32,10.8,6.48,10.69,0,0,0,0,0,0
674.42,0,0,2.06,0,7.65,13.16,10.66,3.43,13.2,0,0.53,0,0,0,0,0,0,0.69,0,0,14.92,0,4.88,0,0,0,0,0,0,0
676.45,0,0,9.79,0,7.65,13.16,12.42,3.43,40.64,0,0.53,3.8,0,0,0,0,0,0.69,21.85,0,14.92,2.13,19.14,4.45,0,0,0,0,0,0
678.47,8.83,26.47,9.79,18.7,18.62,24.64,32.29,10.16,45.98,0,18.21,3.8,4.3,0,0,0,0,0.69,29.21,0,14.92,18.72,23.89,4.45,0,0,0,0,0,0
680.49,8.83,26.47,7.73,18.7,10.97,11.48,21.63,6.73,32.78,0,17.68,3.8,4.3,0,0,0,0,0,29.21,0,0,18.72,19,4.45,0,0,0,0,0,0
682.51,8.83,26.47,0,18.7,10.97,11.48,19.86,6.73,12.21,0,17.68,0,4.3,0,0,0,0,0,9.04,0.09,0,23.73,4.74,0,0,0,0,0,0,0
684.53,40.09,13.18,31.77,19.55,29.36,14.89,20.85,1.18,14.6,19.74,27.26,25.53,19.73,0,14.03,0.66,14.25,3.32,31.29,20.44,35.98,21.83,19.26,24.77,0,0,0,0,0,0
686.55,46.11,13.18,49.5,19.55,37.35,37.42,35.75,18.12,21.85,41.15,56.22,50.1,21.43,0,20.1,0.66,14.25,3.32,55.83,43.37,51.59,39.05,38.43,25.45,0,0,0,27.95,0,0
688.57,46.11,13.18,51.75,24.02,42.54,37.42,54.56,29.02,51.61,50.11,56.22,63.59,21.43,0,20.1,0.66,14.25,3.32,59.94,43.28,51.59,31.91,38.43,25.45,0,0,0,27.95,0,0
690.58,18.2,22.39,41.64,25.73,13.19,47.68,60.99,41.92,82.45,42.42,56.26,54.69,6.55,0,12.73,4.67,12.01,11.79,38.92,22.93,40.71,27.39,22.66,12.01,0,0,0,27.95,0,0
692.6,21.28,22.39,32.17,25.73,14.08,26.92,69.38,24.98,92.25,44.03,27.3,30.12,4.85,0,6.66,11.59,12.01,11.79,14.38,0,25.09,11.86,3.5,18.22,0,0,0,0,0,0
694.61,21.28,22.39,30.13,21.26,8.89,28,68.5,34.25,55.62,39.05,36.25,26.6,4.85,0,6.66,11.59,12.01,11.79,8.59,0,25.09,11.86,3.5,18.22,0,0,0,0,0,0
696.63,9.09,4.76,8.48,2.82,15.92,2.85,48.37,20.17,24.56,37.82,8.94,9.97,0,0,0,6.92,0,0,0,0,0,1.69,0,6.89,0,0,0,0,0,0
698.64,19.23,11.35,10.07,8.86,29.9,15.85,71.08,53.16,20.03,34.11,21.93,31.7,0,0,12.96,0,9.03,0,5.53,20.2,13.21,10.55,30.33,6.83,1.99,0,0,0,0,0
700.65,33.89,28.74,30.53,49.44,35.6,33.72,86.31,58.21,55.19,70.59,46.14,39.31,2.16,0,12.96,9.13,9.03,4.87,34.62,39.94,52.69,19.26,55.18,18.18,1.99,0,0.4,24.62,0.92,30.67
702.66,66,62.51,57.34,70.75,49.45,49.83,87.17,103.97,95.48,111.7,80.45,58.09,17.89,0,12.96,17.79,9.03,4.87,41.26,61.22,79.77,45.79,55.18,28.38,6.84,0,0.4,39.55,0.92,70.58
704.67,65.07,82.05,73.22,100.49,35.05,60.46,57.11,109.71,120.17,109.56,88.38,54.42,31.96,0,2.62,32.75,0,4.87,61.7,61.29,81.34,57.04,31.18,37.38,4.85,0,0.4,54.22,6.82,89.83
706.68,55.25,64.65,53.52,60.99,43.43,72.52,57.11,116.53,106.93,83.17,82.38,48.49,29.8,0,2.62,23.62,0,0,47.12,68.34,41.86,71.28,6.33,35.37,4.85,11.35,0,29.59,9.71,59.17
708.69,39.96,39.48,39.35,75.05,60.02,74.13,103.63,112.54,111.21,58.96,75.91,53.43,29.23,8.58,30.46,26.94,7.2,11.09,76.2,89.71,39.4,54.84,12.35,57.01,0,13.82,0,16.84,23.73,29.89
710.69,30.98,13.37,18.84,39.27,52.59,74.06,123.78,99.84,74.8,41.79,55.41,47.01,15.17,23.51,39.05,11.98,7.2,11.09,62.27,75.74,38.27,46.05,13.64,52.98,0,13.82,0,2.17,18.48,11.88
712.7,36.11,22.3,34.09,44.41,55.27,78.09,118.67,84.55,69.78,37.97,35.99,59.33,15.17,41.12,39.05,15.18,7.2,11.09,47.76,65.2,38.27,28.02,13.64,43.64,11.81,2.47,0,10.33,14.68,11.88
714.7,19.29,8.93,21.44,27.21,55.27,74.45,64.15,57.9,20.4,21.12,8.15,40.29,0,32.54,11.21,3.19,0,0,12.04,22.55,13.65,17.93,7.63,11.79,11.81,0,0,8.16,0.66,1.24
716.71,41.38,26.73,21.99,50.16,79.93,81.46,52.96,58.2,37.32,27.83,25,55.89,0,17.61,5.51,3.19,0,0,0,16.26,0,4.92,5.99,0,11.81,2.12,0,8.16,0,0
718.71,47.01,26.48,5.77,67.83,63.17,72.36,24.9,56.36,64.75,21.81,25.71,36.35,0,0,5.51,0,0,0,0,0,0,4.64,5.99,0,0,2.12,0,0,0,0
720.71,60.2,26.48,35.39,51.82,62.7,84.24,44.9,62.81,75.49,19.42,35.78,39.11,0,0,10.69,0,0,0,0,0,0,4.64,16.5,8.35,7.23,2.12,0,0,8.76,0
722.71,54.12,24.2,56.12,67.47,94.89,74.78,37.16,51.56,102.52,32,51.1,35.51,0.21,0,8.48,0,3.45,0,13.87,0,5.39,4.73,15.72,14.06,7.23,0,0,0,8.76,0
724.71,64.47,31.67,107.25,65.22,133.14,97.76,105.9,74.06,114.29,72.33,82.49,84.66,34.58,26.74,38.31,5.55,3.45,18.02,36.92,31.2,48.01,34.96,32.73,26.58,7.23,3.9,0,19.86,33.87,0
726.71,99.26,76.24,109.16,95.07,123.52,127.51,124.97,95.96,140.14,97.74,115.64,113.9,63.76,49.66,61.5,5.55,20.49,35.73,50.49,61.56,63.52,47.27,37.04,34.89,6.24,3.9,6.25,19.86,25.11,0.42
728.71,105.69,74.13,100.73,77.92,79.57,129.25,142.67,97.16,131.62,119.45,102.76,110.11,72.54,57.43,66.44,5.55,17.04,35.73,42.03,71.43,58.12,64.26,32.45,29.18,7.16,3.9,26.11,26.17,31.6,0.42
730.7,122.44,86.34,81.28,77.75,72.61,127.64,106.01,103.99,108.07,91.8,92.85,78.95,38.17,66.29,52.37,0,17.65,18.8,20.91,41.58,15.51,40.25,29.18,20.58,7.16,0,26.11,6.31,6.49,0.42
732.7,100.4,54.75,71.04,55.46,49.86,78.59,92.86,78.35,76.37,73.34,68.13,50.66,12.68,43.37,28.38,0,0.61,1.09,21.22,17.85,0,27.93,18.34,18.42,0.91,0,19.86,6.31,6.49,0
734.69,78.45,41.34,52.98,56.62,74.88,71.97,93.12,92.77,52.08,35.64,77.5,52.45,7.95,35.61,37.82,0,5.31,3.75,16.98,17.21,23.6,31.12,24.27,18.42,0,0,12.15,10.25,2.65,0
736.69,50.93,32.95,30.6,67.2,64.34,30.79,89.46,74.95,65.2,52.01,60.95,55,12.66,6.31,27.58,0,4.71,2.66,43.06,30.24,44.74,35.3,29.53,29.02,0,0,12.15,14.48,5.24,0
738.68,57.51,35.66,16.98,56.22,76.24,30.04,89.2,87.53,80.39,53.14,42.45,70.29,26.68,6.66,38.09,8.98,4.71,2.66,29.18,27.38,53.99,58.64,28.89,28.39,0,0,12.15,14.48,5.24,0
740.67,74.29,45.83,50.48,57.46,57.01,27.18,84.13,85.3,94.78,81.12,47.84,66.78,24.67,25.6,29.93,15.14,1.31,0,33.03,33.84,64.28,49.58,47.58,54.15,0,0,9.74,4.23,2.59,17.75
742.66,83.29,35.95,43.28,59.58,60,50.53,62.25,85.26,83.35,47.85,70.43,60.47,22.65,39.03,35.74,15.37,1.31,0,22.87,39.97,68.25,45.51,35.92,39.63,0,0,9.74,0,0,17.75
744.65,64.15,36.95,55.62,88.91,43.48,72.09,76.56,80.74,102.11,40.89,102.25,75.02,26.06,38.68,20.84,6.39,1.31,0,25.57,55.53,59,24.22,47.71,37.42,0,0,9.74,0,0,17.75
746.64,49.23,30.49,55.84,77.78,34.9,71.21,69.72,66.4,93.06,20.13,68.9,56.9,23.8,22.2,14.4,0.23,0,0,32.19,48.1,45.4,27.91,27.48,12.2,0,0,0,0,0,0
748.63,41.73,52.12,72.15,84.43,39.09,70.1,115.96,73.82,85.42,37.23,41.97,69.07,43.51,2.45,16.27,7.19,0,0,37.14,58.32,64.46,36.6,39.92,41.53,0,5.28,0,0,25.68,0
750.61,47.11,60.63,76.67,87.96,60.23,72.2,127.38,61.42,66.64,61.42,26.89,47.76,45.99,18.93,27.05,14.21,6.22,7.11,61.87,77.99,99.28,52.4,46.79,37.08,0,5.28,0,0,25.68,0
752.6,78.81,95.13,70.51,126.82,104.96,103.29,148.44,94.32,107.15,102.91,59.46,90.97,79.09,50.18,45.68,14.21,28.28,10.96,95.26,112.66,145.45,70.19,72.33,54.96,3.28,5.28,0,0,26.88,1.92
754.58,87.39,103.84,60.23,114.22,108.58,124.94,143.68,99.74,114.19,118.59,90.23,105.51,69.09,50.55,32.47,7.02,28.28,10.96,93.87,98.55,123.84,74.54,73.41,36.73,3.28,0,0,0,1.21,1.92
756.57,100.95,113.54,82.6,121.62,119.85,131.24,148.89,131.47,146.53,114.92,97.97,115.02,62.3,37.55,38.51,15.48,22.06,3.85,79.04,106.33,105.45,63.1,53.05,52.04,3.28,0,0,0,1.21,1.92
758.55,61.95,87.33,75.41,94.46,80.24,106.66,132.18,110.94,125.29,98.33,94.13,105.95,29.19,3.85,16.82,15.48,0,0,44.77,66.99,48.61,55.21,36.57,33.61,0,0,0,0,0,0
760.53,95.04,83.89,134.31,120.73,96.06,101.17,135.55,128.49,148.45,105.83,104.38,85.97,26.6,47.05,57.42,30.26,14.03,32.14,56.83,86.65,42.11,67.32,39.76,53.48,4.19,0,0,0,26.09,10.29
762.51,100.9,79.88,98.64,102.11,87.32,102.46,107.66,113.79,140.36,97.09,90.71,102.75,40.77,43.57,56.75,19.04,14.03,32.14,63,53.76,34.38,80.87,38.12,39.45,4.19,0,0,3.13,26.09,10.29
764.49,119.3,83.41,117.52,118.7,109.79,131.64,102.63,136.94,126.8,97.2,94.91,107.06,50.11,55.1,69,19.32,14.58,43.29,65.17,55.54,67.99,68.75,39.74,39.45,5.32,0,0,6.7,39.1,10.29
766.47,85.13,76.05,85.83,100.4,97.71,144.58,75.34,137.84,111.31,76.4,71.53,119.12,47.03,36.83,69.42,15.86,26.46,12.92,61.46,60.76,90.71,50.74,45.81,30.2,1.13,0,0,6.7,13.01,0
768.45,78.62,59.67,80.8,107.09,99.28,152.52,73.36,144.71,112.13,89.92,78.79,97.16,45.28,43.98,68.83,11.6,26.52,14.41,45.08,60.99,116.43,39.06,82.79,23.6,1.13,0,0,4.1,13.01,0
770.42,103.65,91.17,92.98,94.33,94.41,134.68,96.23,148.77,134.47,73.63,90.58,87.4,41.96,62.12,79.33,11.31,25.97,10.81,65.48,66.32,85.26,46.49,86.63,42.39,9.83,14.33,0,0.52,20,0.29
772.4,109.11,96.77,87.26,101.35,78.65,101.28,103.51,144.57,133.23,99.76,118.13,72.06,37.51,59.15,46.04,0,4.84,9.04,57.1,48.89,76.99,32.81,69.02,32.46,21.58,18.85,0,23.5,29.24,20.09
774.37,147.57,122.36,148.52,125.02,90.88,99.55,132.43,155.68,144.62,115.87,154.66,92.37,41.39,105.16,59.08,3.62,16.36,31.65,102.73,42.12,63.05,33.79,49.41,47.2,40.46,18.85,26.53,50.78,86.59,67.62
776.34,157.9,122.83,135.34,153.91,94.33,108.03,145.88,153.99,150.87,142.51,179.72,102.54,52.82,98.05,55.66,13.26,16.36,24.1,92.25,31.57,66.66,32,41.35,49.16,47.17,9.04,39.35,88.95,88.58,78.13
778.32,172.55,127.29,124.81,162.8,108.44,123.5,170.96,161.59,157.43,155.46,153.42,119.37,65.57,103.27,66.24,13.26,24.42,24.1,97.11,33.7,60.28,40.2,46.29,54.12,67.86,4.52,59.33,84.72,114.54,88.6
780.29,181.64,163.18,112.71,166.13,112.99,145.75,189.12,186.61,168.73,162.83,151.88,115.28,72.2,79.71,73.02,26.2,21.04,29.48,55.2,59.06,69.13,58.96,39.79,37.63,89.06,34.78,41.05,121,101.36,73.93
782.26,155.94,149.95,113.49,172.67,122.76,154.56,175.14,191.83,166.56,171.74,154.55,138.39,54.75,75.91,76.91,24.91,42.36,55.34,61.4,89.19,76.42,41.84,36.73,34.6,123.68,30.26,45.19,100.03,118.25,116
784.23,157.23,137.38,164.26,171.88,179.86,173.69,160.46,173.35,204.03,167.29,190.52,139.15,57.69,69.99,100.01,24.91,49.96,62.58,56.5,87.89,68.94,47.93,22.56,19.11,116.82,42.23,50.52,151.25,140.66,116.6
786.2,120.4,95.68,160.58,186.3,182.85,133.71,151.98,143.39,188.36,176.38,184.69,170.44,39.19,74.29,98.32,19.06,58.12,60.17,89.82,69.14,74.36,37.58,17.62,45.85,92.5,30.38,55.04,161.33,181.93,131.05
788.16,144.11,102.2,177.11,182.61,196.06,132.62,164.69,142.3,198.88,186.67,167.41,173.61,76.52,134.92,118.63,43.87,56.61,58.43,90.48,64.74,71.44,60.91,22.01,50.26,87.47,69.13,86.54,200.71,228.51,175.13
790.13,139.48,107.05,133.64,166.25,149.26,108.52,187.03,143.51,172.37,186.6,163.76,184.08,91.77,169.65,104.03,64.27,63.2,71.13,119.6,82.45,99.31,70.67,18.73,55.11,113.53,92.34,70.79,202.84,252.83,195.63
792.09,140.51,110.88,138.48,152.89,176.13,136.76,177.02,178.03,171.51,169.52,155.43,181.88,104.8,208.15,103.21,91.3,78.9,68.94,112.16,111.62,91.96,75.55,26.34,56.08,135.68,95.3,91.79,206.05,246.9,212.54
794.06,116.31,98.16,101.43,124.3,134.44,113.1,159.42,151.96,159.72,142.19,138.2,155.76,69.05,177.2,63.61,85.88,88.49,44.82,82.45,94.34,71.9,60.33,13.54,39.94,98.68,72.12,62.33,204.45,211.16,177.98
796.02,94.21,112.86,104.82,137.15,97.53,115.55,134.9,166.98,155.02,125.62,124.38,154.4,50.5,186.47,74.22,77.36,81.3,34.75,42.14,70.63,39.34,37.33,23.72,46.02,68.89,52.15,95.39,203.71,191.61,180.94
797.98,53.99,82.79,48.27,82.22,66.5,61.67,88.58,125.86,118.18,75.26,93.44,87.85,33.63,130.4,41.35,39.62,49.24,9.87,10.15,28.26,11.95,17.33,10.18,18.15,43.06,30.77,84.77,166.61,126.71,116.73
799.94,65.54,86.81,75.3,93.4,84.92,80.12,108.01,146.49,122.76,112.65,103.26,81.13,61.96,171.88,77.5,36.31,57.61,28.84,28.26,56.45,30.57,22.55,35.77,25.8,84.44,56.64,126.01,194.38,142.66,103.19
801.9,67.08,40.16,88,58.57,97,49.24,88.08,134.43,82.98,113.02,97.72,63.05,74.63,139.02,69.98,35.01,46.3,37.66,23.19,42.32,30.58,17.08,29.4,24.12,92.13,58.15,133.9,189.78,118.59,93.3
803.86,146.73,84.28,149.95,105.86,98.53,99.02,128.23,163.79,119.96,174.48,152.62,132.47,97.96,167.49,121.93,63.92,69.52,63.29,58.49,89.53,84.45,27.31,63.31,49.72,134.8,89.69,200.11,226.16,171.17,186.53
805.82,129.7,94.06,126.75,99.47,102.38,104.25,129.02,156.12,90.9,148.93,148.82,169.47,98.17,100.52,104.62,39.48,50.77,59.33,51,76.97,74.7,29.77,41.83,40.94,151.66,96.38,178.84,213.74,163.94,182.81
807.78,146.33,124.84,106.87,125.75,133.57,149.47,134.46,157.77,146.16,166.36,168.35,191.79,90.38,86.87,96.97,53.4,45.68,51.39,59.52,86.75,81.97,60.95,38.02,48.15,164.51,115.05,193.9,214.97,175.35,196.4
809.73,113.85,114.16,59.54,110.59,153.99,134.25,135.42,154.94,134.94,154.66,151.75,133.65,74.58,85.56,73.99,24.49,28.94,48.44,49.05,41.88,52.57,48.76,4.12,26.04,149,122.37,162.27,176.83,168.74,173.3
811.69,126.24,101.36,72.09,109.64,147.96,109.26,140.25,143.64,156.59,159.83,159.35,92.04,51.12,86.24,78.33,48.45,45.85,70.5,41.92,17.63,43.69,31.78,0.32,27.27,139.47,112.68,182.95,147.34,173.11,210.51
813.64,132.3,92.23,68.3,125.03,136.93,94.26,169.38,160.32,130.55,143.66,152.27,86.42,50.54,104.48,108.23,52.94,84.33,105.46,29.69,15.67,36.87,30.48,17.42,9.55,185.81,131.19,197.51,159.39,184.01,217.25
815.6,101.9,84.65,72.06,122.97,113.12,95.82,198.38,134.86,146.04,136.35,151.39,113.35,49.63,88.38,116.46,71.93,103.48,113.09,14.81,31.04,35.73,29.89,17.42,14.68,209.14,179.35,193.71,185.08,195.9,232.64
817.55,99.28,109.83,85.93,131.02,128.75,118.83,199.47,177.83,167.95,121.48,146.61,132.7,68.82,96.38,134.46,97.87,112.74,147.16,49.04,53.27,64.2,46.51,50.31,24.6,222.23,211.27,241.02,248.53,204.87,232.78
819.5,95.21,123.57,107.34,144.3,139.28,123.05,200.42,178.99,189.4,150.48,149.38,156.92,90.35,110.73,134.8,114.48,123,138.25,87.29,91.11,87.18,43.68,47.54,67.69,201.96,250.51,263.97,249.96,216.16,264.25
821.45,113.91,141.08,117.53,171.35,166.25,141.39,176.13,206.91,207.26,165.57,158.57,185.24,106.32,143.18,151.91,140.2,163.04,169.12,129.67,94.08,122.29,79.62,92.43,71.73,225.13,259.85,305.03,282.15,240.54,292.47
823.4,89.49,118.14,110.94,146.28,145.12,141.96,176.03,180.36,197.32,184.54,167.63,202.11,143.51,156.52,157.57,135.49,178.65,144.22,113.94,118.62,110.3,83.81,73.67,73.32,218.17,281.73,310.29,265.21,257.46,315.56
825.35,72.29,108.76,119.23,109.45,119.54,141.75,176.47,181.01,190.92,180.38,155.91,198.18,126.37,152.19,150.56,133.44,165.59,158.33,106.89,79.83,105.98,71.33,87.92,55.6,259.19,274.26,306.87,321.58,302.36,338.64
827.29,63.42,104.03,126.86,108.61,116.29,115.53,187.55,188.64,204.16,193.54,178.84,216.24,143.33,142.64,176.33,151.85,164.65,157.55,93.63,77.84,84.79,61.31,75.29,66.99,278.98,267.23,323.89,364.05,348.36,336.14
829.24,74.66,93.75,114.25,140.88,132.82,115.77,153.05,192.03,192.83,178.47,167.53,206.4,109.41,127.87,160.21,133.38,149.82,140.23,95.17,42.63,85.06,52.08,85.11,52.84,294.2,275.96,284.68,384.29,349.79,360.07
831.18,98.22,112.12,92.31,154.82,169.7,138.68,163.87,201.73,225.47,203.38,200.21,220.21,134.05,133.65,176.32,170.8,159.22,140.81,79.27,52.33,88.22,77.74,87.83,55.91,299.97,294.24,299.01,391.4,350.09,345.22
833.13,94.45,108.5,92.7,140.76,159.23,149.92,142.66,194.41,210.76,192.61,195.87,195.68,108.46,129.88,144.86,160.67,151.74,135.51,60.16,53.49,90.84,59.53,55.66,37.77,292.16,326.62,284.77,389.93,318.16,339.79
835.07,110.9,102.42,85.3,126.26,156.33,142.05,160.32,214.95,226.58,203.05,206.75,212.69,110.32,135.56,148.19,193,160.04,140.99,55.85,57.77,111.92,83.77,54.62,62.09,319.46,324.76,310.64,395.57,357.99,345.13
837.01,124.57,124.24,105.79,138.31,149.32,137.74,153.85,226.37,221.94,199.7,203.5,210.91,131.29,142.68,155.29,181.44,169.79,137.94,93.32,82.51,122.79,95.46,60.03,78.86,330.19,376.02,328.94,414.97,383.92,406.23
838.95,131.56,108.38,94.95,129.37,133.98,126.1,150.36,220.77,201.28,228.34,223.57,210.78,146.59,125.47,139.06,193.22,168.89,122.89,98.81,90.26,106.67,99.16,61.45,104.3,364.58,350.93,347.91,401.36,424.51,435.32
840.89,132.34,119.3,92.22,133.54,155.76,111.25,171.3,222.92,213.71,248.74,241.08,217.42,167.01,126.04,133.28,174.79,154.1,135.96,115.43,117.14,88.35,75.32,49.99,95.53,402.74,400.27,369.64,443.52,452.19,465.51
842.83,100.66,86.1,84.37,122.6,142.09,92.61,169.44,204.95,187.01,242.36,235.8,221.28,141.77,109.95,111.83,163.71,141.65,152.71,81.73,93.37,87.7,66.49,53.87,86.44,444.56,370.95,366.04,422.33,457.2,451.36
844.77,136.54,93.13,115.41,119.88,159.65,111.54,197.44,190.17,201.85,216.52,206.07,242.68,146.86,116.19,118.38,159.96,150.55,165.48,95.71,106.28,107.07,106.66,72.43,79.69,479.7,412.28,400.1,424.8,506.53,490.2
846.71,135.86,110.26,129.89,131.28,160.99,135.59,206.54,171.83,214.11,224.78,232.43,253.85,138.62,142.1,141.6,162.89,181.45,189.92,129.37,91.87,150.79,128.19,108.33,78.62,521.84,438.95,433.15,438.92,523.19,500.37
848.64,160.4,126.29,140.59,146.57,197.89,174.86,230.84,175.02,211.25,234.59,233.34,251.23,155.04,163.35,160.49,206.83,210.36,189.71,167.05,133.48,167.18,161.72,131.91,84.56,551.97,492.94,492.21,503.04,554.18,546.53
850.58,140.05,142.75,129.07,178.98,195.91,193.24,225.24,202.64,183.14,233.16,251.35,256.38,146.7,184.16,200.27,231.34,231.17,178.73,190.3,151.66,186.82,155.49,181.39,100.07,601.65,574.16,531.48,582.7,516.04,582.9
852.51,154.82,166.33,143.99,206.83,221.05,193.08,209.06,219.69,186.46,225.17,237.13,248.63,157.91,181.52,214.28,282.08,237.55,199.99,180.12,207.08,195.69,199.49,189.77,140.47,635.55,585.26,613.63,628.25,539.79,610.15
854.44,174.69,175.01,155.36,220.13,217.63,168.36,203.65,234.5,221.88,214.95,250.02,257.65,153.91,184.01,219.4,274.61,251.71,225.04,193.07,230.96,202.02,188.95,203.27,175.67,661.89,632.8,648.57,632.9,572.31,669.18
856.37,189.67,176.48,143.17,243.54,236,171.76,202.32,257.4,267.72,235.83,251.67,262.1,181.13,178.38,226.41,268.03,269.1,276.33,225.59,277.08,210.26,252.64,216.34,212.77,685.11,667.23,717.39,653.77,641.05,699.76
858.31,203.76,167.05,155.09,251.07,223.48,200.95,207.76,256.4,254.66,270.81,253.76,261.66,213.25,166.65,214.31,275.03,314.06,279.52,259.35,317.1,254.06,285.57,273.64,272.43,704.56,753.54,732.76,684.19,685.67,766.89
860.24,200.41,187.85,163.24,243.16,229.53,245.03,187.41,269.27,256.47,301.67,276.06,281.44,245.81,174.04,215.33,282.48,329.15,267.83,340.24,356.25,298.33,335.62,293.07,327.55,735.45,793.64,797.92,744.38,734.4,793.8
862.16,199.06,205.31,194.71,246.25,252.91,288.45,219.7,264.8,261.27,340.53,295.03,297.87,253.72,225.43,228.69,312.27,357.57,320.16,389.15,406.43,362.62,360.02,364.17,409.02,768.67,829.4,823.74,790.23,802.79,863.7
864.09,206.83,247.22,213.97,263.8,277.75,304.65,251.1,271.08,282.82,330.49,309.43,325.08,247.29,264.49,266.72,326.42,384.35,345.51,471.74,431.95,412.25,401.43,416.96,466.83,794.88,840.5,879.23,859.75,863.18,918.93
866.02,213.59,245.47,226.23,305.68,298.26,297.19,300.81,278.02,289.7,330.11,315.49,309.61,231.43,283.45,296.64,347.79,416.69,394.43,489.24,484.71,475.46,477.75,512.65,519.21,851.33,876.49,900.28,918.49,910.45,948.39
867.94,251.35,264.71,223.82,338.23,305.11,287.75,297.84,276.61,298.9,321.39,328.54,322.8,247.57,276.75,306.24,367.85,426.7,381.69,518.09,532.49,531.02,532.74,565.35,570.27,873.43,897.15,908.33,959.56,947.73,971.51
869.87,251.89,269.07,223.19,350.9,293.74,291.41,295.29,290.97,305.86,338.44,344.37,332.44,265.06,278.05,327.84,386.92,406.73,392.98,542.29,585.63,577.92,597.09,632.06,618.35,917.54,961.14,924.39,993.29,963.67,1004.96
871.79,235.55,265.54,218.34,324.02,298.16,303.53,276.85,303.43,309.58,339.93,339.3,324.17,277.99,282.14,337.22,400.11,402.22,416.39,585.95,627.89,623.96,628.89,640.9,675.54,902.43,977.58,924.23,1016.14,954.73,1042.53
873.71,229.88,263.68,244.16,317.47,274.25,300,271.73,320.2,309.96,347.08,315.89,332.57,274.82,300.79,337.83,399.54,395.28,418.37,616.19,649.06,623.57,668.26,649.97,699.98,913.21,955.25,935.96,1018.87,965.01,1087.99
875.64,222.42,228.71,217.87,284.16,250.91,271.69,238.48,288.52,259.54,317.11,283.37,296.52,262.77,290.23,283.89,353.43,390.79,410.48,556.23,602.03,577.65,614.09,582.17,638.21,860.44,858.04,874.14,982.38,922.06,1028.56
877.56,233.2,221.96,211.14,290.74,230.8,266.94,221.11,249.71,240.01,288.7,280.73,303.69,280.17,276.12,281.07,336.78,398.43,388.72,492.73,522.46,516.85,570.38,541.16,569.23,820.79,800.27,793.77,909.67,912.57,992.58
879.48,172.98,170.89,172.75,226.66,170.36,197.54,174.4,185.57,176.12,229.94,241.09,221.19,252.35,223.12,228.37,296.92,344.52,339.76,398.36,386.36,427.51,452.8,419.94,450.37,715.58,727.96,673.52,841.41,803.52,872.04
881.4,118.76,123.15,133.69,193.26,142.27,155.48,117,149.74,160.9,187.19,204.78,193.68,214.33,193.92,200.45,286.85,287.75,274.92,321.46,302.73,336.64,378.01,323.52,363.98,644.15,641.43,598.39,718.26,747.25,785.29
883.31,49.13,56.67,75.3,128.19,91.18,77.76,58.27,89.9,107.99,144.43,120.13,144.84,161.19,140.94,139.77,217.69,213.2,196.66,213.13,214.33,241.01,245.13,212,248.82,549.96,529.8,517.16,595.34,653.21,675.77
885.23,15.11,55.83,53.14,96.36,83.33,78.94,30.41,89.94,93.3,104.55,85.37,135.55,146.29,127.53,131.31,204.43,187.23,176.64,153.04,164.18,179.96,188.48,169.05,184.57,525.99,484.4,498.16,515.64,586.06,612.14
887.14,0,63.43,58.43,71.97,46.26,64.57,23.72,64.83,74.37,100.79,74.05,99.37,149.4,103.12,120.86,171.52,166.61,177.64,119.98,118.38,136.92,138.18,132.78,149.99,473.36,488.68,453.16,502.28,519.26,583.18
889.06,0.09,63.43,46.72,58.82,40.76,50.43,11.92,43.18,48.99,84.57,69.28,78.41,126.08,88.62,94.97,185.18,159.89,180.88,113.49,80.16,98.79,96.79,113.09,107.66,462.63,466.18,430.73,511.49,475.01,556.79
