wavenumber,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
426.4,0,2.42,0,1.62,0,3.82,0,0,2.16,13.6,0,25.72,14.02,33.59,22.82,56.78,21.76,4.43,33.2,61.3,8.05,12.93,22.83,1.08,0,0,0,0,10.4,0
428.54,0,0,0,1.62,0,0,0,0,0,0,0,0,8.8,27.29,17.73,39.37,29.38,11.52,36.77,66.69,18,0.72,1.76,1.08,0,0,0,0,9.2,1.36
430.68,0,0,7.42,5.68,0,1.28,0,0,0,0,0,0,19.94,9.15,36.01,38.13,27.48,25.75,40.21,75.95,53.13,0.93,17.91,22.5,0,0,0,0,14.91,9.21
432.83,8.01,0,7.42,5.68,0,1.28,0,0,0,0.8,0,0,26.43,5.66,24.07,51.49,32.18,25.75,58.97,54.86,64.59,0.93,26.07,27.8,0,0,0,0,5.71,9.21
434.97,8.01,0,7.42,5.68,0,1.28,0,0,0,0.8,0,0,26.43,5.66,18.28,43.99,24.56,17.17,74.39,47.76,63.38,0.93,43.24,27.8,0,0,0,0,5.71,7.86
437.11,8.01,0,0,0,0,0,0,0,0,0.8,0,0,15.11,0,0,28.36,17.37,0,46.39,26.57,28.17,0,27.09,6.38,0,0,0,0,0,0
439.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,16.34,8.73,0,18.26,0,0,0,0,0,0,0
441.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.33,23.61,0,12,0.12,0,0,0,0,0,0
449.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,9.33,23.61,0,12,0.12,0,0,0,0,0,0
452.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,9.33,23.61,0,12,0.12,0,0,0,0,0,0
454.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0
456.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
460.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
462.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0
464.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
471.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
481.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
483.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498.72,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0
500.83,0,22.11,0,6.26,0,2.88,4.2,0,0,0,0,0,0,3.79,10.51,16.16,0,0,15.41,26.24,17.36,14.51,5.66,20.19,0,0,0,0,0,0
502.93,0,22.11,0,6.26,0,2.88,4.2,0,0,0,0,0,0,3.79,10.51,16.16,0,0,15.41,26.24,17.36,14.51,5.66,20.19,0,0,0,0,0,0
505.04,0,20.86,0,6.26,0,2.88,4.2,0,0,0,0,0,0,3.79,10.51,8.4,0,0,15.41,26.24,14.49,14.51,5.66,20.19,0,0,0,0,0,0
507.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
517.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,2.86,0,0,0,0,0,2.74,0,0,0,0,0,0
519.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,2.86,0,5.39,0,0,0,0,0,0,0,0,0,0
521.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.63,0,0,2.86,0,5.39,0,0,0,0,0,0,0,0,0,0
523.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0
526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,3.41,0,0,0,0,0,0,1.14,0,0,0,0,0,0
530.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6.67,3.41,0,0,0,0,14.7,0,1.14,0,0,0,0,0,0
532.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6.67,3.41,0,0,0,0,14.7,0,1.14,0,0,0,0,0,0
534.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47,6.67,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0
536.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,10.51,0,0,14.67,0,0,0,0,0,0,0,0
544.89,0,5.53,0,1.44,7.78,6.02,0,6.04,0,22.31,0,5.87,42.37,29.21,29.46,0,17.45,27.67,53.18,62.61,25.32,45.11,25.56,25.7,0,0,28.79,0,0,0
546.98,43.1,35.02,27.36,26.72,38.08,13.2,5.39,13.83,10.18,52.64,31.56,31.08,79.89,58.02,78.92,24.74,27.17,35.28,109.87,131.96,100.05,80.86,64.11,66.7,0,0,40.96,9.13,9.67,19.1
549.06,65.57,79.56,35.78,51.6,45.34,29.99,31.62,34.81,36.28,84.77,71.26,63.07,113.53,63.41,109.02,36.29,39.11,54.15,172.39,207.35,148.16,85.23,105.97,108.65,2.33,0,45.77,9.13,27.79,19.1
551.15,85.85,116.07,70.69,73.76,78.87,47.13,65.14,45.71,53.08,100.47,110.55,80.07,126.22,62.03,116.85,50.53,42.68,54.12,197.61,226.4,192.53,84.98,107.12,108.37,2.33,0,16.97,31.09,27.79,28.43
553.23,57.49,119.45,56.74,79.46,64.28,51.49,65.87,59.48,64.4,119.03,106.17,72.92,129.62,60.37,93.72,26.58,32.97,54.76,174.22,225.82,162.95,74.11,92.31,88.82,2.33,0,4.81,21.95,18.11,9.33
555.32,47.12,89.81,71.44,63.82,70.01,56.16,61.57,51.56,46.35,96.89,100.76,74.74,99.4,65.75,71.3,15.02,21.03,43.07,126.21,182.95,146.42,55.08,68.23,46.87,0,0,0,21.95,0,9.33
557.4,45.17,53.94,45.56,49.29,28.69,37.6,41.7,40.72,58.73,58.88,74.77,51.88,53.33,41.29,34.02,0.78,0,15.44,90.02,127.9,91.38,31.43,55.97,21.45,0,0,0,0,0,0
559.48,30.43,21.07,32.15,18.31,12.98,26.07,39.57,19.16,37.24,9.98,47.58,37.19,12.41,14.15,13.36,0,0,7.18,56.73,59.14,55.28,6.54,32.22,0,0,0,0,0,0,0
561.56,18.89,15.94,9.04,9.06,0,4.6,48.08,27.72,55.01,14.63,13.29,3.38,1.85,5.9,5.67,0,0,2.41,58.42,48.3,44.46,24.33,16.19,1.67,0,0,0,0,0,0
563.64,21.89,39.35,17.44,23.17,0,5.01,34.44,28.13,45.31,16.76,4.52,41.63,1.58,10.58,13.24,0,0,16.95,55.39,73.39,84.57,30.18,25.76,10.6,0,0,0,5.37,0,0
565.72,21.89,45.26,54.57,45.58,0,16.92,38.23,48.77,66.32,37.91,51.1,56.52,1.58,37.72,21.61,20.96,7.89,27.8,89.58,107.64,116.52,66.7,50.28,20.99,0,0,0,5.37,0,0
567.8,21.33,35.49,66.36,45.58,0,16.92,7.78,27.16,40.49,28.8,63.05,56.52,1.58,35.2,21.61,20.96,7.89,25.38,64.1,107.62,98.86,53.77,50.08,23.05,0,0,0,5.37,0,0
569.87,3.72,5.92,48.92,31.44,0,15.4,20.52,20.64,21.82,34.64,71.62,28.35,0,33.04,14.04,20.96,7.89,10.85,36.57,67.2,50.81,44.78,41.49,31.73,0,0,0,0,0,0
571.95,3.72,0,11.8,9.02,0,3.48,12.74,0,0.81,18.34,25.05,12.03,0,5.9,0,0,0,0,2.38,32.95,9.81,8.26,18.74,21.34,0,0,0,0,0,0
574.02,3.72,0,0,9.02,0,3.48,12.74,0,0.81,12.83,13.1,12.03,0,5.9,0,0,0,0,1.15,25.08,6.72,3.4,17.2,27.58,0,0,0,0,0,0
576.09,0,2.22,0,0,0,0,0,0,0,4.86,0,1.96,0,0,0,0,0,0,0,13.8,0,0,1.76,9.97,0,0,0,0,0,0
578.17,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,9.97,0,0,0,0,0,0
580.24,0,2.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
592.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0
594.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55,3.89,0,4.07,0,0,0,0,0,0,0,0,0
596.77,0,10.25,0,0,0,0,0,17.12,9.64,2.17,0,0,0,0,1.45,0,0,3.55,21.58,0,44.66,15.81,6.5,13.41,0,0,0,0,0,0
598.83,0,10.25,0,0,0,0,0,17.12,14.43,2.17,20.19,15.58,0,0,1.45,0,0,2.89,21.58,7.81,55.88,15.81,13.91,17.71,0,0,0,0,0,0
600.89,0,10.25,0,0,0,0,0,17.12,14.43,2.17,20.19,15.58,0,0,1.45,0,0,0,17.7,29.08,65.2,15.81,17.08,17.71,0,0,0,0,0,0
602.95,12.88,0,6.84,15.21,15.1,0,14.71,0,15.5,5.01,24.3,31.72,8.7,3.74,0,0,0.59,16.61,31.48,63.81,41.47,8.16,19.51,21.75,0,0,0,0,0,0
605.01,12.88,0,6.84,15.21,15.1,0,14.71,0,10.71,5.01,4.11,16.14,8.7,3.74,0,0,0.59,16.61,31.48,56,30.25,8.16,12.11,17.46,0,0,0,0,0,0
607.07,19.49,0,22.8,15.21,15.1,0,14.71,5.44,25.41,5.01,4.11,20.91,8.7,10.27,0,8.81,0.59,31.1,40,51.53,40.88,19.63,22.56,17.46,0,0,0,0,0,0
609.13,10.72,0,29.12,1.07,14.89,5.08,16.69,11.45,14.7,14.41,0,20,0,6.52,0,8.81,9.26,28.61,38.44,48.69,65.8,35.63,31.31,27.16,0,0,0,0,4.59,0
611.18,30.24,9.39,29.12,7.86,41.48,9.53,39.46,13.56,14.7,47.48,22.24,41.58,24.85,8.77,12.05,18.43,21.08,45.22,86.61,86.19,110.57,65.36,46.58,47.23,12.45,0,0,27.62,11.12,0
613.24,40.44,57.75,39.41,16.6,65.32,23.55,71.52,21.88,5.93,87.08,63.7,64.94,33.47,20.93,12.05,23.05,38.1,61.13,143.19,124.81,148.3,73.83,41.13,87.87,12.45,0,0,55.46,19.24,19.22
615.29,43.28,81.31,59.01,26.09,61.73,31.61,67.72,29.5,15.47,107.04,76.94,68.59,33.47,20.93,12.05,26.94,30.03,74.21,140.95,145.62,133.54,65.15,47.54,77.9,12.45,0,0,70.13,32.31,33.99
617.35,37.1,76.22,62.85,30.91,45.13,39,62.22,59.41,18.17,99.96,73.58,63.88,8.62,18.69,0,17.33,36.67,73.99,112.78,142.82,133.53,35.43,36.02,68.67,7.26,0,0,53.43,30.72,43.74
619.4,20.3,36.11,43.08,22.17,21.29,24.98,31.68,58.29,12.24,60.35,40.18,44.47,0,0,0,10.77,19.93,62.04,71.57,101.99,97.47,15.48,27.83,36.4,7.26,0,0,38.96,39.01,40.76
621.45,17.41,24.31,12.28,11.61,10.66,46,23.1,63.8,2.7,29.86,54.41,50.7,0,0,0,6.87,32.23,47.47,72.44,78.56,88.49,13.58,13.34,43.54,8.7,0.35,0,42.17,30.98,30.11
