wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
538.62,0,0,0,0,0,0,0,0,0,0,0,0
540.71,0,0,0,0,0,0,0,0,0,0,0,0
542.8,0,0,0,0,0,0,0,0,0,0,0,0
544.89,0,0,0,0,0,0,19.25,12.38,3.55,37.79,0,56.03
546.98,34.26,0,0,0,0,0,80.16,69.46,54.16,117.24,129.74,150.9
549.06,34.26,0,0,8.8,11.29,0,163.41,137.25,105.52,209.75,251.66,226.68
551.15,34.26,0,13.5,8.8,26.51,0,199.12,222.73,156.76,274.28,357.16,273.4
553.23,0,0,13.5,8.8,26.51,0,178,232.04,159.84,269.13,373.69,256.74
555.32,0,0,13.5,0,15.22,6.98,115.39,201.19,153.08,287.32,320.85,259.38
557.4,0,0,0,0,0,6.98,86.95,109.51,119.83,239.5,255.33,240.64
559.48,0,0,0,0,0,6.98,47.16,43.11,66.14,208.46,129.22,164.98
561.56,0,0,0,0,0,0,26.52,6.17,21.53,97.76,94.54,139.05
563.64,0,0,0,0,0,0,10.93,11.99,35.1,86.26,138.6,86.86
565.72,0,0,0,0,0,0,10.93,30.4,61.32,127.86,173.75,139.4
567.8,0,0,0,0,0,0,10.93,30.4,61.32,143.11,214.43,106.46
569.87,0,13.37,0,0,0,0,0,18.41,26.22,158.7,138.86,103.92
571.95,0,13.37,0,0,0,0,0,0,0,73.84,83.56,48.83
574.02,0,13.37,0,0,0,0,0,0,0,58.59,56.27,29.28
576.09,0,0,0,0,0,0,0,0,0,0,47.79,0
578.17,0,0,0,0,0,0,0,0,0,0,47.79,0
580.24,0,0,0,0,0,0,0,0,0,0,0,0
582.31,0,0,0,0,0,0,0,0,0,0,0,0
584.38,0,0,0,0,0,0,0,0,0,0,0,0
586.45,0,0,0,0,0,0,0,0,0,0,0,0
588.51,0,0,0,0,0,0,0,0,0,0,0,0
590.58,0,0,0,0,0,0,0,0,0,0,2.63,0
592.64,0,8.99,0,0,3.56,7.38,0,0,0,41.37,69.69,32.93
594.71,0,26.25,3.18,48.01,20.6,51.3,9.77,37.58,28.05,139.59,196.59,151.31
596.77,9.75,80.7,11.96,71.35,56.05,82.01,77.79,117.06,99.35,270.63,338.64,337.42
598.83,17.18,84.6,37.58,103.94,66.94,118.39,158.29,224.35,176.81,400.4,469.32,466.59
600.89,17.76,76.14,35.67,80.9,77.13,93.08,225.96,278,238.18,417.94,497.75,472.17
602.95,39.32,38.64,40.05,97.19,77.31,108.41,245.59,284.92,242.48,458.24,478.59,435.8
605.01,38.64,25.75,14.43,64.6,62.87,64.65,216.26,222.56,195.16,353.74,348.29,364.62
607.07,51.04,16.96,20.97,74.07,49.9,50.49,182.33,180.91,136.9,334.46,268.17,279.94
609.13,19.72,33.7,7.81,43.64,14.27,31.75,159.11,153.64,131.34,260.38,233.91,194.77
611.18,43.29,58.34,15.27,69.27,21.18,55.6,193.28,181.09,143.83,309.5,244.84,222.77
613.24,42.83,80.93,36.94,67.24,57.37,53.92,256.39,235.48,210.93,354.05,276.18,345.83
615.29,81.59,69.15,67.14,107.98,82.38,45.65,286.23,241.25,214.07,374.14,292.04,334.4
617.35,81.3,71.78,67.64,148.15,111.08,49.14,269.78,256.73,210.59,363.44,337.75,299.48
