wavenumber,PLA 100ppm-1,PLA 100ppm-2,PLA 100ppm-3,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3
676.45,110.06,112.8,91.02,0,15.42,32.63
678.47,143.07,139.52,135.29,0,15.42,32.63
680.49,95.78,93.83,103.47,0,15.42,33.01
682.51,49.51,51.25,61.09,0,13.05,0.38
684.53,86.8,121.54,111.25,60.71,73.6,49.16
686.55,173.78,199.61,210.85,107.82,138.21,66.31
688.57,212.61,246.11,256.22,147.05,151.55,93.61
690.58,206.21,211.72,219.7,129.27,149.08,78.47
692.6,167.81,174.32,138.17,86.92,95.36,62.74
694.61,112.48,112.91,77.56,47.69,68.97,47.09
696.63,75.62,67.39,29.58,6.42,10.9,17.07
698.64,96.64,102.09,78.81,44.46,40.21,53.69
700.65,208.59,204.78,188.77,118.56,98.7,114.05
702.66,264.39,268.24,258.77,202.56,153.7,142.26
704.67,269.29,298.81,237.21,210.77,188.16,149
706.68,225.31,243.49,180.75,178.85,148.81,107.26
708.69,223.54,232.72,176.52,162.91,160.77,119.15
710.69,191.22,162.39,183.73,169.5,145.92,124.57
712.7,156.12,156.62,178.15,181.41,166.38,138.61
714.7,80.9,112.07,118.47,130.3,139.14,126.29
716.71,87.91,125.4,99,107.17,125.87,103.94
718.71,62.92,77.16,81.87,69.79,88.36,59.63
720.71,85.37,84.27,96.84,67.29,93.04,66.87
722.71,121.5,100.05,143.49,107.54,105.46,108.19
724.71,220.73,218.52,221.24,187.99,180.75,198.73
726.71,274.41,292.19,278.77,258.31,258.9,248.76
728.71,258.09,296.19,286.64,244.06,255.46,231.53
730.7,185.22,238.64,227.95,208.67,240.22,172.82
732.7,145.12,146.87,193.04,158.14,151.17,121.96
734.69,116.03,131.76,142.46,141.04,150.54,85.85
736.69,117.62,115.66,149.22,137.03,132.31,103.48
738.68,109.87,147.23,139.32,136.77,133.17,119.18
740.67,103.12,155.47,154.41,136.27,126.11,149.63
742.66,81.38,133.38,120.18,110.52,105.47,129.82
744.65,54.87,92.85,79.84,110.41,71.11,93.97
746.64,39.8,30.77,25.74,109.17,39.29,59.65
748.63,46.3,31.25,68.08,119.9,16.03,89.95
750.61,90.24,66.18,119.86,118.5,65.06,103.44
752.6,138.64,136.22,197.62,137.3,109.93,144.45
754.58,176.93,136.49,145.75,122.73,132.51,159.75
756.57,166.45,147.66,164.43,142.14,132.31,182.02
758.55,140.43,121.61,130.9,110.08,93.97,164.81
760.53,162.74,177.91,177.71,164.78,133.04,136.67
762.51,169.61,206.09,162.07,163.11,133.75,175.5
764.49,183.05,208.18,170.67,195.08,179.42,228.28
766.47,131.61,197.38,156.05,200.25,161.62,232.92
768.45,106.51,168.59,137.44,196.51,178.9,185.3
770.42,119.86,162.92,129.28,204.62,180.36,166.2
772.4,131.56,149.26,152.46,223.48,208.9,189.83
774.37,182.26,176.94,184.31,276.43,241.52,275.21
776.34,162.53,178.86,191.39,303.35,261.77,281.55
778.32,160.03,187.67,170.04,269.24,265.32,282.18
780.29,146.55,194.49,180.69,281.55,290.95,239.22
782.26,145.73,270.98,206.69,264.6,293.99,282.33
784.23,181.71,262.6,206.14,301.19,303.55,264.96
786.19,213.25,233.46,199.83,297.4,264.07,292.55
788.16,242.14,200.32,185.85,323.04,271.34,289.54
790.13,259.26,240.08,236.11,330.31,280.9,316.49
792.09,254.84,289.97,231.82,345.43,307.32,319.3
794.06,217.76,256.2,233.87,344.31,304.48,282.17
796.02,201.59,190.66,173.49,313.82,296.27,282.68
797.98,168.98,92.03,129.35,269.3,220.69,243.8
