wavenumber,PS_PMMA-50ppm-3,PS_PMMA-50ppm-2,PS_PMMA-50ppm-1,PS_PMMA-100ppm-1,PS_PMMA-100ppm-2,PS_PMMA-100ppm-3,PS_PMMA-200ppm-1,PS_PMMA-200ppm-2,PS_PMMA-200ppm-3
1009.48,120.84,140.7,107.18,130.09,148.09,116.49,178.03,177.59,126.22
1011.33,8.46,32.9,18.65,4.82,7.55,15.96,6.98,7.47,0
1013.18,0,0,0,0,0,0,0,0,0
1015.03,0,0,0,0,0,0,0,0,0
1016.87,0,0,0,0,0,0,0,0,0
1018.72,0,0,0,0,0,0,0,0,0
1020.56,0,0,0,0,0,0,0,0,0
1022.4,0,0,0,0,0,0,0,0,0
1024.24,0,0,0,0,0,0,0,0,0
1026.08,0,0,0,0,0,0,0,0,0
1027.92,0,0,0,0,0,0,0,0,0
1029.76,0,0,0,0,0,0,0,0,0
1031.6,0,0,0,0,0,0,0,0,0
1033.44,0,0,0,0,0,0,0,0,0
1035.27,0,0,0,0,0,0,0,0,0
1037.11,0,0,0,0,0,0,0,0,0
1038.94,0,0,0,0,0,0,0,0,0
1040.77,0,0,0,0,0,0,0,0,0
1042.6,0,0,0,0,0,0,0,0,0
1044.43,0,0,0,0,0,0,0,0,0
1046.26,0,0,0,0,0,0,0,0,0
1048.09,0,0,0,0,0,0,0,0,0
1049.92,0,0,0,0,0,0,0,0,0
1051.75,0,0,0,0,0,0,0,0,0
1053.57,0,0,0,0,0,0,0,0,0
1055.4,0,0,0,0,0,0,0,0,0
1057.22,0,0,0,0,0,0,0,0,0
1059.04,0,0,0,0,0,0,0,0,0
1060.86,0,0,0,0,0,0,0,0,0
1062.68,0,0,0,0,0,0,0,0,0
1064.5,0,0,0,0,0,0,0,0,0
1066.32,0,0,0,0,0,0,0,0,0
1068.14,0,0,0,0,0,0,0,0,0
1069.96,0,0,0,0,0,0,0,0,0
1071.77,0,0,0,0,0,0,0,0,0
1073.59,0,0,0,0,0,0,0,0,0
1075.4,0,0,0,0,0,0,0,0,0
1077.21,0,0,0,0,0,0,0,0,0
1079.02,0,0,0,0,0,0,0,0,0
1080.83,0,0,0,0,0,0,0,0,0
1082.64,0,0,0,0,0,0,0,0,0
1084.45,0,0,0,0,0,0,0,0,0
1086.26,0,0,0,0,0,0,0,0,0
1088.06,0,0,0,0,0,0,0,0,0
1089.87,0,0,0,0,0,0,0,0,0
1091.67,0,0,0,0,0,0,0,0,0
1093.48,0,0,0,0,0,0,0,0,0
1095.28,0,0,0,0,0,0,0,0,0
1097.08,0,0,0,0,0,0,0,0,0
1098.88,0,0,0,0,0,0,0,0,0
1100.68,0,0,0,0,0,0,0,0,0
1102.48,0,0,0,0,0,0,0,0,0
1104.27,0,0,0,0,0,0,0,0,0
1106.07,0,0,0,0,0,0,0,0,0
1107.86,0,0,0,0,0,0,0,0,0
1109.66,0,0,0,0,0,0,0,0,0
1111.45,0,0,0,0,0,0,0,0,0
1113.24,0,0,0,0,0,0,0,0,0
1115.03,0,0,0,0,0,0,0,0,0
1116.82,0,0,0,0,0,0,0,0,0
1118.61,0,0,0,0,0,0,0,0,0
1120.4,0,0,0,0,0,0,0,0,0
1122.19,0,0,0,0,0,0,0,0,0
1123.97,0,0,0,0,0,0,0,0,0
1125.76,0,0,0,0,0,0,0,0,0
1127.54,0,0,0,0,0,0,0,0,0
1129.33,0,0,0,0,0,0,0,0,0
1131.11,0,0,0,0,0,0,0,0,0
1132.89,0,0,0,0,0,0,0,0,0
1134.67,0,0,0,0,0,0,0,0,0
1136.45,0,0,0,0,0,0,0,0,0
1138.23,0,0,0,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0,0
1141.78,0,0,0,0,0,0,0,0,0
1143.55,0,0,0,0,0,0,0,0,0
1145.33,0,0,0,0,0,0,0,0,0
1147.1,0,0,0,0,0,0,0,0,0
1148.87,0,0,0,0,0,0,0,0,0
1150.64,0,0,0,0,0,0,0,0,0
1152.41,0,0,0,0,0,0,0,0,0
1154.18,0,0,0,0,0,0,0,0,0
1155.95,0,0,0,0,0,0,0,0,0
1157.72,0,0,0,0,0,0,0,0,0
1159.48,0,0,0,0,0,0,0,0,0
1161.25,0,0,0,0,0,0,0,0,0
1163.01,0,0,0,0,0,0,0,0,0
1164.77,0,0,0,0,0,0,0,0,0
1166.54,0,0,0,0,0,0,0,0,0
1168.3,0,0,0,0,0,0,0,0,0
1170.06,0,0,0,0,0,0,0,0,0
1171.81,0,0,0,0,0,0,0,0,0
1173.57,0,0,0,0,0,0,0,0,0
1175.33,0,0,0,0,0,0,0,0,0
1177.08,0,0,14.46,0,0,0.7,0,0,0
1178.84,9.13,11.31,14.46,0,4.19,0.7,0,0,0
1180.59,18.07,16.1,17.68,9.55,42.81,26.8,0,0,0
1182.34,25.51,24.38,3.22,14.11,46.21,37.38,0,0,0
1184.1,16.38,13.07,3.22,14.11,42.02,37.38,0,0,0
1185.85,7.44,8.28,0,4.56,3.4,11.28,0,0,0
1187.6,0,0,0,0,0,0,0,0,0
1189.35,0,0,0,0,0,0,0,0,0
1191.09,0,0,0,0,0,0,0,0,0
1192.84,0,0,0,0,0,0,0,0,0
1194.59,0,0,0,0,0,0,0,0,0
1196.33,0,0,0,0,0,0,0,0,0
1198.07,0,0,0,0,0,0,0,0,0
1199.82,0,0,0,0,0,0,0,0,0
1201.56,2.54,0,0,0,0,0,0,0,0
1203.3,2.54,0,0,0,0,0,0,0,0
1205.04,2.54,0,0,0,0,0,0,0,0
1206.78,0,0,0,0,0,0,0,0,0
1208.51,0,0,0,0,0,0,0,0,0
1210.25,0,0,0,0,0,0,0,0,0
1211.98,0,0,0,0,0,0,0,0,0
1213.72,0,0,0,0,0,0,0,0,0
1215.45,0,0,0,0,0,0,0,0,0
1217.19,0,0,0,0,0,0,0,0,0
1218.92,0,0,0,0,0,0,0,0,0
1220.65,0,0,0,0,0,0,0,0,0
1222.38,0,0,0,0,0,0,0,0,0
1224.1,0,0,0,0,0,0,0,0,0
1225.83,0,0,0,0,0,0,0,0,0
1227.56,0,0,0,0,0,0,0,0,0
1229.28,0,0,0,0,0,0,0,0,0
1231.01,0,0,0,0,0,0,0,0,0
1232.73,0,0,0,0,0,0,0,0,0
1234.45,0,0,0,0,0,0,0,0,0
1236.18,0,0,0,0,0,0,0,0,0
1237.9,0,0,0,0,0,0,0,0,0
1239.61,0,0,0,0,0,0,0,0,0
1241.33,0,0,0,0,0,0,0,0,0
1243.05,0,0,0,0,0,0,0,0,0
1244.77,0,0,0,0,0,0,0,0,0
1246.48,0,0,0,0,0,0,0,0,0
1248.2,0,0,0,0,7.28,0,0,0,0
1249.91,0,0,0,0,10.92,45.45,0,2.91,0
1251.62,11.95,0,0,24.99,40.5,81.23,0,2.91,0
1253.33,40.45,1.54,0,42.34,41.57,81.23,0,2.91,0
1255.04,40.45,1.54,0,61.2,48.85,40.66,0,45.15,0
1256.75,28.5,11.88,1.97,58.39,29.57,28.19,0,45.15,18.24
1258.46,3.46,10.34,5.43,45.24,32.95,39.96,0,45.15,33.18
1260.17,20.76,43.66,29.05,60.99,55.21,48.04,1.75,12.54,43.21
1261.87,24.92,51.83,56.23,64.84,89.92,50.88,14.11,40.76,32.14
1263.58,49.38,95.42,79.35,106.69,121.63,63.72,53.02,65.27,42.13
1265.28,41.23,88.26,86.19,98.99,131.77,77,96.9,82.71,50.28
1266.99,60.13,82.14,82.76,97.41,112.7,83.39,120.61,106.64,56.6
1268.69,47.76,75.09,82.04,126.6,123.06,88.89,138.5,141.08,31.67
1270.39,52,80.64,77.6,137.12,100.76,97.04,104.45,111.11,47.55
1272.09,47.07,85.69,86.32,163.87,79.34,89.76,73.68,126.22,35.38
1273.79,48.09,65.35,69.32,141.95,36.26,84.8,42.64,86.73,44.69
1275.49,50.05,65.96,44.6,121.04,47.17,67.84,81.34,126.77,30.64
1277.18,33.07,58.96,10.16,79.58,75.87,42.58,101.21,59.5,48.43
1278.88,16.5,50.23,1.3,36.78,65.16,34.4,75.45,42.64,48.28
1280.57,1.15,19.79,0,30.33,33.21,16.97,25.18,6.51,28.27
1282.27,0.67,16.95,0,27.87,0,27.85,15.25,36.13,13.92
1283.96,18.33,9.47,0,47.76,1.77,12.33,30.09,74.14,5.64
1285.65,28,15.19,18.24,63.98,40.11,44.05,97.25,109.88,56.35
1287.34,27.33,7.59,19.27,56.99,47.5,50.31,95.98,118.8,94.98
1289.03,9.67,7.59,20.67,59.11,57.42,70.34,102.57,119.24,116.13
1290.72,12.91,0,5.21,51.68,42.46,65.49,98.34,132.86,117.46
1292.41,36.02,17.33,38.48,79.04,87.61,95.75,140.29,175,150.97
1294.1,53.34,31.19,40.25,117.96,163.33,127.57,178.88,226.43,191.11
1295.78,86.31,42.27,65.52,172.78,179.27,153.61,210.77,259.83,224.88
1297.47,83.89,42.5,65.73,220.6,166.54,174.98,258.41,303.64,261.72
1299.15,104.2,49.11,87.32,244.21,130.93,170.81,322.23,329.63,338.75
1300.84,73.67,71.56,88.42,224.71,170.88,187.19,326.36,351.93,357.41
1302.52,77.42,107.95,89.47,226.89,208.51,182.9,343.24,362.97,367.49
1304.2,72.34,138.18,118.34,220.3,238.69,222.18,350.42,356.64,331.2
1305.88,97.65,139.46,137.27,263.17,265.32,233.57,392.13,372.85,372.09
1307.56,125.02,118.8,156.92,243.48,250.74,233.41,400.7,383.91,352.85
1309.24,109.78,116.2,142.96,239.59,278.6,233.36,444.14,410.5,379.8
1310.91,99.03,120.43,142.17,208.59,265.03,237.54,447.22,434.39,377.05
1312.59,104.9,107.27,132.65,221.94,293.8,266.05,457.05,406.37,420.39
1314.26,113.05,87.39,142.08,219.96,271.58,279.58,428.64,431.43,468.81
1315.94,148.37,101.34,138.01,237.55,271.91,278.66,405.2,411.81,472.53
1317.61,110.3,135.58,135.55,244.14,256.92,280.41,414.86,430.6,453.68
1319.28,127.07,157.65,129.59,233.31,262.83,263.39,396.16,384.04,397.13
1320.95,113.67,161.88,131.46,217.71,249.97,280.93,390.45,366.79,372.56
1322.62,139.99,149.84,114.72,221.56,241.22,279.93,372.27,400.73,372.52
1324.29,138.26,149.08,123.92,250.76,217.15,297.59,377.85,434.44,376.24
1325.96,124.14,141.26,145.07,271.64,226.42,281.59,362.53,447.24,409.71
1327.63,116.97,140.39,166.83,263.86,221.04,257.27,355.97,406.46,400.94
1329.29,105.18,136.24,129.98,260.2,249.1,246.4,380.28,397.89,430.7
1330.96,119.79,125.48,107.85,279,241.62,254.31,414.47,400.85,413.67
1332.62,118.57,121.89,98.88,288.7,280.7,293.45,479.97,389.14,439.29
1334.28,132.95,122.58,141.2,297.75,311.46,280.93,484.25,418.85,471.99
1335.95,135.73,139.32,133.57,268.59,301.01,291.87,511.06,468.1,484.91
1337.61,164.68,156.9,136.1,250.33,282.79,270.03,486.87,506,482.47
1339.27,155.24,135.76,103.58,224.09,233.57,268.2,490.11,504.33,435.46
1340.92,128.96,132.12,102.56,274.74,284.59,263.6,483,491.32,448.1
1342.58,110.86,127.64,108.37,324.97,298.18,243.89,494.22,520.63,464.06
1344.24,121.92,150.34,143.35,347.76,318.32,265.09,516.1,512.26,486.34
1345.9,146.82,156.53,146.82,299.45,309.04,277.51,559.98,519.21,506.28
1347.55,118.66,145,133.91,284.16,311.43,311.94,541.95,484.6,504.64
1349.2,117.67,137.31,105.17,288.11,290.39,290.93,490.25,459.64,497.66
1350.86,113.29,121.23,117.36,301.74,252.36,262.94,463,435.12,454.45
1352.51,125.86,118.76,103.17,285.38,246.34,261.95,463.18,429.04,483
1354.16,126.82,126.01,101.37,256.48,261.44,278.41,483.24,432.84,485.76
1355.81,117.83,126.99,80.62,259.37,268.99,285,466.86,431.85,478.74
1357.46,127.23,143.69,83.59,267.05,294,282.37,470.7,418.08,473.92
1359.1,107.25,121.67,91.51,270.75,259.69,281.08,491.31,443.41,447.88
1360.75,111.88,122.59,93.7,286.46,262.72,278.8,513.7,467.18,495.94
1362.4,115.23,106.9,101.95,282.63,223.88,276.3,489.97,469.17,485.55
1364.04,131.52,116.49,96.47,256.48,239.71,281.82,478.03,449.93,563.93
1365.69,144.76,86.69,111.94,243.68,225.89,279.35,449.52,427.8,563.41
1367.33,145.95,71.5,127.02,276.23,255.74,266.21,503.13,473.77,579.33
1368.97,131.97,71.48,148.26,337.68,303.5,273.31,519.07,499.75,533.24
1370.61,116.38,112.85,142.89,337.26,327.04,299.53,570.24,530.61,522.71
1372.25,119.51,138.61,130.57,319.96,309.7,330.53,594.63,557.36,565.05
1373.89,136.81,157.2,121.43,294.57,319.6,313.77,633.35,559.44,651.06
1375.53,138.05,148.06,118.55,315.86,310.52,294.68,612.86,589.62,694.18
1377.16,159.91,159.88,145.29,316.5,338.77,281.27,619.81,612.92,684.73
1378.8,150.37,147.63,118.97,319.49,303.7,260.54,563.54,603.67,632.73
