wavenumber,PE 5ppm-1,PE 5ppm-2,PE 5ppm-3,PE 10ppm-3,PE 10ppm-2,PE 10ppm-1,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
1035.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1040.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1042.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1044.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1046.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1049.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1051.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1053.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1055.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1057.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1059.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1060.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1062.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1064.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1068.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1069.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1071.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1073.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1075.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1077.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1079.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1082.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1084.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1089.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1093.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1097.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1100.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1116.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1118.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1120.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1122.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1123.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1125.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1127.54,0,0,0,0,0,0,0,0,0,28.73,0,0,0,0,0
1129.33,0,6.07,6.07,0,0,0,23.48,0,0,65.91,0,0,23.72,0,22.53
1131.11,0,6.07,6.07,0,0,0,23.48,0,0,123.25,0,0,82.33,0,53.01
1132.89,0,6.07,6.07,0,0,0,28.6,0,0,108.71,0,0,132.24,32.51,115.49
1134.67,0,0,0,0,0,0,17.92,0,0,110.26,0,0,147.76,47.97,138.83
1136.45,9.9,0,0,0,0,0,17.92,0,0,107.03,0,0,138.2,47.97,177.76
1138.23,9.9,0,0,0,0,0,12.8,0,0,177.22,0,0,121.12,48.4,198.85
1140,30.41,55.26,55.26,0,0,0,0,0,0,216.18,0,36.25,152.84,78.63,274.75
1141.78,81.36,115.43,115.43,0,0,0,3.85,0,0,274.79,0,76.25,164.6,174.8,371.36
1143.55,157.26,214.54,214.54,49.77,49.77,0,3.85,0,0,306.16,30.15,130.38,253.17,227.89,428.45
1145.33,236.97,265.92,265.92,104.13,104.13,25.38,3.85,0,7.06,357.86,47.67,158.65,267.1,277.02,547.59
1147.1,251.67,288.95,288.95,140.1,140.1,58.87,0,0,7.06,353.21,70.28,193.26,331.4,203.18,619.76
1148.87,275.14,298.08,298.08,148.38,148.38,118.28,0,0,7.06,300.66,43.64,157.01,277.85,160.82,678.09
1150.64,232.82,300.75,300.75,192.2,192.2,180.25,0,0,0,237.98,26.12,137.32,209.22,116.06,626.35
1152.41,240.94,352.86,352.86,236.78,236.78,205.32,0,0,0,163.75,3.51,62.71,84.41,93.73,579.1
1154.18,233.05,380.96,380.96,249.01,249.01,189.04,0,0,0,133.83,0,44.83,32.63,50.06,535.89
1155.95,272.04,428.94,428.94,237.78,237.78,223.62,0,0,0,68.8,0,0,16.36,4.75,427.61
1157.72,320.25,453.79,453.79,248.09,248.09,279.75,0,0,0,34.98,0,0,16.06,4.75,297.94
1159.48,389.78,430.97,430.97,272.39,272.39,346.19,0,0,0,1.68,0,0,0,4.75,142.16
1161.25,443.31,396.81,396.81,312,312,357.28,0,0,0,0,0,0,0,0,61.27
1163.01,449.05,368.2,368.2,320.5,320.5,397.91,0,0,0,0,0,0,0,0,6.29
1164.77,462.79,416.91,416.91,350.64,350.64,370.19,0,0,0,0,0,0,0,0,6.29
1166.53,492.96,410.05,410.05,279.55,279.55,343.9,0,0,0,0,0,0,0,42.61,6.29
1168.3,519.46,422.19,422.19,275.78,275.78,294.94,0,0,0,0,0,0,0,88.12,0
1170.06,518.29,408.99,408.99,270.67,270.67,302.96,0,0,0,0,0,0,0,205.13,0
1171.81,461.67,439.33,439.33,255.77,255.77,226.52,0,0,0,0,0,0,0,269.64,0
1173.57,378.71,442.34,442.34,179.2,179.2,170.41,0,0,0,0,0,0,0,355.87,0
1175.33,261.08,399.33,399.33,60.62,60.62,80.54,0,0,0,0,0,0,0,329.14,0
1177.08,236.33,357.55,357.55,20.04,20.04,50.23,0,0,0,0,0,0,0,252.01,0
1178.84,208.92,309.09,309.09,6,6,0,0,0,0,0,0,0,0,139.26,0
1180.59,182.38,247.84,247.84,4.97,4.97,0,0,0,0,0,0,0,0,48.98,0
1182.34,83.16,190.15,190.15,4.97,4.97,0,0,0,0,0,0,0,0,18.98,0
1184.1,29.42,91.91,91.91,0,0,0,0,0,0,0,0,0,0,0,0
1185.85,0,47.14,47.14,0,0,0,0,0,0,0,0,0,0,0,0
1187.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1189.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1191.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1192.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1194.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1196.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1198.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1201.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203.3,0,12.87,12.87,0,0,0,0,0,0,0,0,0,0,0,10.04
1205.04,0,49.57,49.57,0,0,0,0,0,0,0,0,0,0,0,67.58
1206.78,0.39,72.34,72.34,0,0,0,0,0,0,0,0,0,0,0,158.91
1208.51,40.36,94.03,94.03,43.92,43.92,0,0,0,0,0,0,0,0,0,287.04
1210.25,58.61,109.04,109.04,75.38,75.38,63.7,0,0,0,0,0,0,0,0,384.55
1211.98,141.92,158.94,158.94,147.86,147.86,106.56,0,0,0,0,0,0,0,0,422.01
1213.72,178.45,203.73,203.73,195.81,195.81,203.95,0,0,0,0,0,0,0,0,428.08
1215.45,248.98,237.18,237.18,262.77,262.77,185.31,0,0,0,0,0,0,0,0,380.87
1217.18,222.73,224.52,224.52,260.62,260.62,193.57,0,0,0,0,0,2.53,0,0,386.28
1218.92,165.49,236.19,236.19,262.49,262.49,139.16,0,0,0,0,0,2.53,0,0,308.74
1220.65,166.9,228.52,228.52,271.69,271.69,204.09,0,0,0,0,0,2.53,0,0,259.59
1222.38,202.65,288.85,288.85,260.56,260.56,202.36,0,0,0,0,0,0,0,0,141.17
1224.1,280.51,296.96,296.96,219.89,219.89,235.41,0,0,0,0,0,0,0,0,82.58
1225.83,261.82,278.85,278.85,199.68,199.68,187.91,0,0,0,0,0,0,0,0,23.88
1227.56,234.9,256.84,256.84,170.58,170.58,222.2,0,0,0,0,0,0,0,0,8.11
1229.28,161.87,255.73,255.73,188.72,188.72,193.72,0,0,0,0,3.18,13.69,0,0,5.14
1231.01,213.96,303.72,303.72,191.97,191.97,178.36,0,2.17,4.49,12.42,61.09,50.82,30.55,52.42,58.96
1232.73,255.04,334.38,334.38,249.58,249.58,202.34,0,6.03,14.19,31,156.66,105.34,102.52,86.96,202.73
1234.45,324.68,325.92,325.92,302.75,302.75,262.21,14.46,30.84,38.35,85.99,276.66,205.15,190.52,126.21,368.94
1236.17,332.87,365.03,365.03,324.81,324.81,366.65,52.34,95.79,85.18,119.35,346.58,326.88,261.73,163.48,481.43
1237.9,359.18,379.24,379.24,359.01,359.01,424.88,119.1,146.13,108.74,163.5,369.99,404.77,332.44,253.26,456.42
1239.61,397.49,432.78,432.78,389.88,389.88,438.79,151.73,215.1,151.92,219.99,370.43,449.69,381.53,361.75,420.14
1241.33,414.58,468.77,468.77,429.88,429.88,395.82,166.77,220.8,158.16,289.27,377.35,427.76,439.45,403.42,395.36
1243.05,435.33,477.76,477.76,449.22,449.22,366.52,179.1,237.79,197.03,337.56,392.97,457.54,493.08,426.8,405.64
1244.77,475.53,499.53,499.53,451.69,451.69,369.35,230.84,237.18,190.97,304.3,419.08,466.13,553.89,401.69,420.09
1246.48,479.96,488.19,488.19,466.73,466.73,436.41,296.08,268.09,210.08,312.61,443.78,512.32,561.29,426.85,469.82
1248.2,530.49,522.95,522.95,501.23,501.23,450.93,312.39,317.05,219.59,343.05,485.63,540.32,609.87,483.19,531.39
1249.91,541.47,488.17,488.17,483.52,483.52,466.24,322.1,339.42,240.17,399.6,524.62,593.48,636.27,580.68,558.8
1251.62,545.46,542.38,542.38,482.49,482.49,469.56,328.44,364.41,282.71,469.51,568.99,648.34,691.39,645.91,595.6
1253.33,505.44,551.59,551.59,442.82,442.82,490.89,335.4,348.03,298.87,489.42,603.73,673.24,679.89,698.85,612.8
1255.04,466.54,576.58,576.58,471.27,471.27,489.02,352.1,307.38,296.76,519.12,593.95,621.96,713.9,708.64,683.83
1256.75,469.86,512.46,512.46,472.29,472.29,476.38,313.64,276.23,286.49,477.06,592.77,588.94,707.84,749.36,693.48
1258.46,485.4,484.56,484.56,480.56,480.56,509.32,304.02,249.94,306.4,447.23,579.84,607.52,704.06,744.37,744.74
1260.17,500.83,505.89,505.89,441.72,441.72,557.15,267.25,287.49,331.16,442.64,586.84,666.36,640.56,746.99,760.62
1261.87,511.05,497.66,497.66,437.02,437.02,542.78,293.55,290.43,323.65,435.18,573,694.68,657.55,749.11,812.68
1263.58,504.82,500.99,500.99,438.9,438.9,535.99,327.37,363.23,323.65,447.94,603.75,676.27,702.81,752.84,894.01
1265.28,528.15,473.21,473.21,445.01,445.01,520.76,373.02,398.53,358.49,477.62,670.42,683.79,758.69,746.85,1002.3
1266.99,507.48,467.43,467.43,459.14,459.14,535.22,407.97,442.12,400.29,511.63,734.14,632.35,829.28,782.26,1115.31
1268.69,493.25,422.42,422.42,485.74,485.74,518.8,463.99,445.78,439.16,553.44,764.67,687.06,878.04,832.5,1168.83
1270.39,449.92,395.31,395.31,471.91,471.91,497.96,509.18,458.62,457.87,557.16,773.8,735.7,992.74,956.35,1191.97
1272.09,415.14,350.09,350.09,445.33,445.33,467.69,563.55,521.63,514.09,601.1,848.19,814.27,1113.39,1063.15,1228.72
1273.79,354.15,322.98,322.98,400.21,400.21,424.21,569.32,599.05,550.71,644.18,909.4,842.66,1210.53,1161.78,1286.31
1275.49,320.15,290.87,290.87,397.11,397.11,456.75,607.72,661.42,616.29,687.6,959.64,863.76,1258.72,1213.81,1294.96
1277.18,278.38,320.65,320.65,360.58,360.58,440.87,632.29,714.63,662.71,686.59,947.49,899.79,1271.19,1197.44,1271.56
1278.88,272.5,278.65,278.65,344.97,344.97,424.23,671.05,690.02,689.31,685.82,912.92,891.08,1276.6,1189.03,1223.11
1280.57,288.73,255.43,255.43,360.49,360.49,360.38,680.53,703.81,682.64,648.18,939.85,922.19,1256.17,1194.11,1175.83
1282.27,319.41,247.66,247.66,363.81,363.81,368,686.42,686.34,652.03,669,1004.26,895.79,1233.91,1207.37,1105.06
1283.96,314.65,274.11,274.11,405.04,405.04,389.52,722.49,723.37,683.61,735.71,1056.26,898.32,1239.6,1205.57,1077.57
1285.65,310.89,353.23,353.23,446.29,446.29,480.4,769.51,736.36,699.47,789.12,1058.64,884.22,1270.33,1239.16,1053.47
1287.34,346.01,346.24,346.24,483.45,483.45,471.19,802.71,742.86,709.17,798.09,1016.61,916.73,1241.67,1233.37,1060.99
1289.03,392.59,433.03,433.03,505.42,505.42,498.44,811.64,738.76,685.61,758.85,1021.07,940.38,1225.51,1287.08,994.68
1290.72,446.94,417.26,417.26,522.18,522.18,481.49,815.64,754.73,681.11,817.41,1047.02,969.19,1247.52,1326.62,1069.21
1292.41,441.74,473.61,473.61,596.08,596.08,578.34,866.04,823.76,732.01,922.77,1161.78,1125.82,1395.69,1453.66,1177.92
1294.1,510.88,502.96,502.96,730.34,730.34,661.21,949.4,924.08,805.54,1022.8,1287.58,1288.49,1562.58,1562.77,1355.01
1295.78,497.79,588.42,588.42,818.06,818.06,722.54,982.15,950.13,861.46,1079.63,1347.87,1404.65,1637.29,1629.04,1379.95
1297.47,546.27,582.1,582.1,847.03,847.03,737.79,967.42,908.36,854.56,1067.7,1287.09,1354.41,1547.29,1599.92,1300.83
1299.15,533.41,520.79,520.79,736.36,736.36,680.39,872.31,818.21,755.94,1012.12,1161.35,1253.21,1369.33,1456.19,1131.44
1300.84,531.99,484.58,484.58,623.16,623.16,601.78,812.6,762.12,671.39,891.33,1048.76,1124.16,1230.88,1300.3,966.22
1302.52,510.8,483.27,483.27,562.53,562.53,571.76,739.4,700.22,593.69,773.44,956.77,1042.71,1130.7,1182.69,869.62
1304.2,465.06,463.4,463.4,534.05,534.05,547.53,680.93,624.71,577.38,685.35,909.93,939.08,1010.01,1102.58,787.52
1305.88,411.2,385.09,385.09,545.47,545.47,524.89,643.3,604.04,548.91,640.5,911.68,908.38,918.94,1062.42,718.7
1307.56,325.02,279.11,279.11,496.59,496.59,469.93,578.3,539.66,506.07,572.33,852.15,832.39,822.24,968.31,650.61
1309.24,265.5,234.14,234.14,441.74,441.74,409.99,518.25,508.57,419.85,539.85,782.32,781.77,755.94,859.25,534.58
1310.91,229.65,182.49,182.49,348.57,348.57,361.41,466.83,431.43,375.24,470.38,670.53,673.87,669.35,714.59,447.61
1312.59,202.46,141.19,141.19,289.77,289.77,267.19,430.69,420.25,313.93,421.26,651.12,593.01,624.48,623.32,315.03
1314.26,118.28,92.21,92.21,237.32,237.32,188.32,407.17,407.35,324.9,364.49,642.08,561.52,574.67,563.77,305.51
1315.94,65.43,43.39,43.39,180.56,180.56,134.14,380.6,399.41,298.82,349.07,645.41,560.07,540.9,524.94,257.39
1317.61,35.81,26.97,26.97,115.06,115.06,82.57,400.88,366.31,317.25,394.56,672.01,588.89,540.08,491.73,279.21
1319.28,39.74,9.11,9.11,75.47,75.47,50.88,424.34,375.71,331.19,446.95,718.2,627.31,580.52,485.79,354.98
1320.95,24.22,9.11,9.11,72.9,72.9,1.57,441.41,391.41,314.42,555.36,841.43,686.1,642.69,502.91,437.14
1322.62,5.73,7.09,7.09,54.25,54.25,1.57,430,409.94,313.49,585.67,923.26,760.82,676.46,534.31,510.91
1324.29,0,0,0,30.78,30.78,0,430.76,396.32,276.73,665.22,998.68,806.14,704.84,580.65,465.3
1325.96,0,0,0,4.97,4.97,0,391.7,388.54,268.49,704.68,1015.37,866.05,704.49,575.6,471.3
1327.63,0,0,0,0,0,0,386.48,385.27,244.41,836.37,1027.99,919.56,707.75,563.82,431.58
1329.29,0,0,0,0,0,0,355.99,381.06,257.4,885.86,1092.42,1000.9,699.84,571.22,465.36
1330.96,0,0,0,0,0,0,345.67,361.36,274.23,922.93,1122.78,1019.16,678.2,562.56,435.75
1332.62,0,0,0,0,0,5.82,344.87,362.5,283.91,876.89,1136.08,1018.68,619.16,526.84,387.76
1334.28,0,0,0,15.62,15.62,12.86,345.23,339.82,256.75,858.77,1058.63,961.47,570.39,457.06,294.38
